target_pid,target_tid,last_switch_out_s,ready_s,switch_in_s,next_switch_out_s,waits_us,ready_us,cpu_usage_ms,count,cpu,readying_scope,readying_tid
6568,5992,21.794739100,21.810702300,21.810706700,21.810728500,"15,963.200",4.400,0.021800,1,9,same_process,4612
6568,5992,21.810728500,21.822073600,21.822078300,21.822791700,"11,345.100",4.700,0.713400,1,9,same_process,12564
6568,5992,21.822791700,21.822867100,21.822871500,21.823114700,75.400,4.400,0.243200,1,9,same_process,12564
6568,5992,21.823114700,21.823371300,21.823375000,21.823579600,256.600,3.700,0.204600,1,9,same_process,12564
6568,5992,21.823579600,21.823747800,21.823751400,21.823960800,168.200,3.600,0.209400,1,9,same_process,12564
6568,5992,21.823960800,21.824205400,21.824209200,21.824434500,244.600,3.800,0.225300,1,9,same_process,12564
6568,5992,21.824434500,21.824572600,21.824576200,21.824784400,138.100,3.600,0.208200,1,9,same_process,12564
6568,5992,21.824784400,21.824839500,21.824843000,21.825023200,55.100,3.500,0.180200,1,9,same_process,12564
6568,5992,21.825023200,21.825236900,21.825241000,21.825444000,213.700,4.100,0.203000,1,9,same_process,12564
6568,5992,21.825444000,21.825694300,21.825698500,21.825900500,250.300,4.200,0.202000,1,10,same_process,12564
6568,5992,21.825900500,21.826255600,21.826259500,21.826528500,355.100,3.900,0.269000,1,9,same_process,12564
6568,5992,21.826528500,21.826637200,21.826640600,21.826806400,108.700,3.400,0.165800,1,9,same_process,12564
6568,5992,21.826806400,21.827204100,21.827207900,21.827445900,397.700,3.800,0.238000,1,10,same_process,12564
6568,5992,21.827445900,21.827757300,21.827760900,21.828040100,311.400,3.600,0.279200,1,9,same_process,12564
6568,5992,21.828040100,21.828303000,21.828306700,21.828523700,262.900,3.700,0.217000,1,9,same_process,12564
6568,5992,21.828523700,21.828715200,21.828718900,21.828939600,191.500,3.700,0.220700,1,9,same_process,12564
6568,5992,21.828939600,21.829325000,21.829328900,21.829611600,385.400,3.900,0.282700,1,14,same_process,12564
6568,5992,21.829611600,21.829789500,21.829793300,21.829998500,177.900,3.800,0.205200,1,9,same_process,12564
6568,5992,21.829998500,21.830283100,21.830286800,21.830479000,284.600,3.700,0.192200,1,9,same_process,12564
6568,5992,21.830479000,21.830647300,21.830650700,21.830817000,168.300,3.400,0.166300,1,10,same_process,12564
6568,5992,21.830817000,21.831347600,21.831351700,21.831548400,530.600,4.100,0.196700,1,9,same_process,12564
6568,5992,21.831548400,21.831790700,21.831794100,21.831984800,242.300,3.400,0.190700,1,9,same_process,12564
6568,5992,21.831984800,21.832163200,21.832166700,21.832357800,178.400,3.500,0.191100,1,10,same_process,12564
6568,5992,21.832357800,21.832560700,21.832564400,21.832733400,202.900,3.700,0.169000,1,9,same_process,12564
6568,5992,21.832733400,21.833201900,21.833205700,21.833413500,468.500,3.800,0.207800,1,9,same_process,12564
6568,5992,21.833413500,21.833861200,21.833864900,21.834164500,447.700,3.700,0.299600,1,9,same_process,12564
