leaf_class,leaf,begin_rva,end_rva_exclusive,samples,weight_ms,sample_weight_percent
external_module,nvoglv64.dll,,,810,809.550400,19.371774
external_module,msvcrt.dll,,,558,557.516200,13.340834
external_module,ntoskrnl.exe,,,492,492.140600,11.776458
xemu_exact,tlb_reset_dirty_range_all,0x0011e4d0,0x0011e83b,408,407.983000,9.762647
external_module,ntdll.dll,,,245,244.695600,5.855334
xemu_exact,pfifo_thread,0x00275260,0x00275f8c,109,108.875600,2.605290
xemu_exact,create_pipeline,0x00297ea0,0x0029b3c1,103,102.970800,2.463994
xemu_exact,pgraph_method,0x001dc380,0x001dca7d,92,91.399700,2.187108
xemu_exact,pgraph_vk_mark_textures_possibly_dirty,0x002ab850,0x002ab959,91,90.737800,2.171270
xemu_exact,apply_uniform_updates.lto_priv.0,0x002ab3d0,0x002ab56b,89,89.034400,2.130509
xemu_exact,update_uniform_rows.lto_priv.0,0x002aae70,0x002ab3c6,83,83.043600,1.987155
xemu_exact,pgraph_vk_flush_draw,0x0029d950,0x0029e4fe,65,64.168700,1.535496
xemu_exact,lru_try_lookup,0x002968c0,0x00296b42,52,52.000000,1.244311
xemu_exact,pgraph_method_inc,0x001d4840,0x001d49cb,51,50.830000,1.216314
xemu_exact,pgraph_method_non_inc,0x001d4360,0x001d46e2,46,46.005400,1.100866
xemu_exact,qemu_mutex_lock_impl,0x003dc060,0x003dc181,41,41.000300,0.981098
xemu_exact,XXH3_accumulate_512_avx2.lto_priv.0,0x006fd540,0x006fd58e,40,40.004100,0.957260
external_module,vulkan-1.dll,,,39,38.846900,0.929570
xemu_exact,pgraph_glsl_set_psh_uniform_values,0x0028be10,0x0028c2e6,35,34.998800,0.837488
xemu_exact,pgraph_NV097_SET_MODEL_VIEW_MATRIX_int_handler,0x001d3fb0,0x001d3ffa,33,33.000000,0.789659
xemu_exact,pgraph_NV097_SET_COMPOSITE_MATRIX_int_handler,0x001d4050,0x001d408c,32,32.006000,0.765873
xemu_exact,qemu_mutex_unlock_impl,0x003e1ff0,0x003e20a6,30,29.596200,0.708209
xemu_exact,pgraph_vk_surface_update,0x002b3b10,0x002b4059,29,29.000000,0.693943
xemu_exact,physical_memory_test_and_clear_dirty.part.0,0x0011e840,0x0011eb5a,29,28.999200,0.693923
xemu_exact,pgraph_vk_update_descriptor_sets,0x002aa8f0,0x002aae4d,24,24.000000,0.574297
xemu_exact,pgraph_vk_bind_vertex_attributes,0x002ad940,0x002adeba,23,22.846700,0.546700
xemu_exact,pgraph_glsl_get_shader_state,0x0028c740,0x0028d1e7,22,22.006900,0.526604
external_module,dxgkrnl.sys,,,19,19.000000,0.454652
xemu_exact,pgraph_NV097_SET_BEGIN_END_handler,0x001d32b0,0x001d33c2,18,18.000000,0.430723
xemu_exact,pgraph_reg_w.lto_priv.0,0x001d6870,0x001d6a14,18,18.000000,0.430723
xemu_exact,nv_dma_load,0x002744e0,0x00274588,16,16.000000,0.382865
xemu_exact,pgraph_NV097_SET_INVERSE_MODEL_VIEW_MATRIX_int_handler,0x001d4000,0x001d4049,16,15.998100,0.382819
xemu_exact,begin_draw,0x0029d140,0x0029d948,15,15.000700,0.358953
external_module,nvlddmkm.sys,,,15,15.000000,0.358936
xemu_exact,sync_vertex_ram_buffer,0x00295500,0x0029575f,15,15.000000,0.358936
