role,pass,executable_sha256,shader_cache,phase,phase_duration_s,guest_frame_count,mean_interval_ms,p95_ms,p99_ms,max_ms,frames_ge_75ms,frames_ge_100ms
baseline,a,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,pre_input,24.885,954,25.960,33.360,50.000,387.636,3,3
baseline,a,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,input_navigation,36.826,1733,21.293,33.343,41.999,3474.992,6,3
baseline,a,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,post_input_load_warmup,30.256,891,34.007,36.556,42.446,538.083,1,1
baseline,a,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,ingame_capture,120.000,3603,33.333,33.421,34.326,36.540,0,0
baseline,b,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,pre_input,24.880,954,25.977,33.362,50.005,371.947,3,3
baseline,b,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,input_navigation,36.878,1760,20.985,33.342,39.260,3470.012,4,2
baseline,b,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,post_input_load_warmup,30.243,890,34.009,34.295,42.100,542.532,1,1
baseline,b,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,off,ingame_capture,120.000,3602,33.333,33.396,34.332,35.400,0,0
pr105,a,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,pre_input,24.722,959,25.686,33.390,50.067,333.215,3,3
pr105,a,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,input_navigation,36.782,1757,20.983,33.346,38.655,3496.479,4,2
pr105,a,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,post_input_load_warmup,30.399,893,34.043,37.083,42.334,517.418,1,1
pr105,a,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,ingame_capture,120.000,3602,33.333,33.583,33.842,40.383,0,0
pr105,b,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,pre_input,24.791,963,25.649,33.601,39.812,300.036,3,2
pr105,b,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,input_navigation,36.802,1750,21.076,33.360,37.814,3487.001,4,2
pr105,b,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,post_input_load_warmup,30.314,893,33.930,33.779,37.637,519.848,1,1
pr105,b,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,off,ingame_capture,120.000,3602,33.338,33.682,33.800,41.000,0,0
