scene,role,pass,source_commit,executable_sha256,status,duration_seconds,guest_frame_count,guest_flip_frame_count,average_fps,guest_frame_average_ms,guest_frame_p95_ms,guest_frame_p99_ms,guest_frame_max_ms,guest_frame_stall_count,focus_loss_samples,not_responding_samples
morrowind_snapshot,baseline,a,9f618d6d8c4c446ef023955f3d4de22f661f61a4,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,admitted,60,1713,1573,28.513504543181934,35.0359900758902,50.002,50.035,50.886,0,0,0
morrowind_snapshot,baseline,b,9f618d6d8c4c446ef023955f3d4de22f661f61a4,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,admitted,60,1708,1571,28.48595103176169,35.099507611241215,50.003,50.045,50.975,0,0,0
morrowind_snapshot,main,a,322986f4c5502b3fa887a9605ac8cd88e9b2c579,992c5cf7bb25ccfd7d6384ee837c051b31120d227cbc6e0febe8207790e0023e,admitted,60,1721,1583,28.668883630411546,34.89247646717029,49.996,50.047,50.395,0,0,0
morrowind_snapshot,main,b,322986f4c5502b3fa887a9605ac8cd88e9b2c579,992c5cf7bb25ccfd7d6384ee837c051b31120d227cbc6e0febe8207790e0023e,admitted,60,1676,1545,27.955605485211873,35.779069809069235,50.001,50.046,50.504,0,0,0
morrowind_snapshot,pr104,a,c7ad1218a6b3ce3bbbd3c2703a54cac3c5d04109,379774b6de338f7ea5a946cd770f51adfff8c5360b9931a1d26f3330e337d5da,admitted,60,1743,1605,29.06731620980452,34.39514859437753,49.976,50.037,50.461,0,0,0
morrowind_snapshot,pr104,b,c7ad1218a6b3ce3bbbd3c2703a54cac3c5d04109,379774b6de338f7ea5a946cd770f51adfff8c5360b9931a1d26f3330e337d5da,admitted,60,1730,1593,28.858862949930145,34.672733526011584,49.947,50.031,50.366,0,0,0
morrowind_snapshot,pr105,a,ae95c4433a74ef146b5e018f2f2e45053e9e2894,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,admitted,60,1672,1536,27.84287035630862,35.86523145933018,50.009,50.058,66.66,0,0,0
morrowind_snapshot,pr105,b,ae95c4433a74ef146b5e018f2f2e45053e9e2894,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,admitted,60,1709,1575,28.506789394156698,35.108218256290286,49.996,50.039,50.377,0,0,0
pgr2_full,baseline,a,9f618d6d8c4c446ef023955f3d4de22f661f61a4,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,admitted,120,3602,3464,30.000030831440462,33.33333231538047,33.421,34.326,36.54,0,0,0
pgr2_full,baseline,b,9f618d6d8c4c446ef023955f3d4de22f661f61a4,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,admitted,120,3602,3462,29.99999090121593,33.333333148250965,33.396,34.332,35.4,0,0,0
pgr2_full,main,a,322986f4c5502b3fa887a9605ac8cd88e9b2c579,992c5cf7bb25ccfd7d6384ee837c051b31120d227cbc6e0febe8207790e0023e,excluded,120,3602,3462,30.000049393495534,33.33332259855629,33.616,33.842,36.347,0,1,0
pgr2_full,main,r2a,322986f4c5502b3fa887a9605ac8cd88e9b2c579,,excluded,,,,,,,,,,,
pgr2_full,main,r2b,322986f4c5502b3fa887a9605ac8cd88e9b2c579,,excluded,,,,,,,,,,,
pgr2_full,pr104,r2a,c7ad1218a6b3ce3bbbd3c2703a54cac3c5d04109,,excluded,,,,,,,,,,,
pgr2_full,pr104,r2b,c7ad1218a6b3ce3bbbd3c2703a54cac3c5d04109,,excluded,,,,,,,,,,,
pgr2_full,pr105,r2a,ae95c4433a74ef146b5e018f2f2e45053e9e2894,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,admitted,120,3602,3466,29.999997489902114,33.33325180455311,33.582,33.842,40.383,0,0,0
pgr2_full,pr105,r2b,ae95c4433a74ef146b5e018f2f2e45053e9e2894,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,admitted,120,3602,3463,29.995663145082265,33.33795863409223,33.682,33.8,41.0,0,0,0
pgr2_snapshot,baseline,a,9f618d6d8c4c446ef023955f3d4de22f661f61a4,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,admitted,60,1767,1624,29.443250790158768,33.96868534238823,40.137,43.243,57.107,0,0,0
pgr2_snapshot,baseline,b,9f618d6d8c4c446ef023955f3d4de22f661f61a4,3489fdcc593e942b92a612bf35a98f509ff0907e3370e1e5f45f2972d83fb16b,admitted,60,1768,1625,29.461495710641916,33.92827771493217,40.221,43.678,56.751,0,0,0
pgr2_snapshot,main,b,322986f4c5502b3fa887a9605ac8cd88e9b2c579,992c5cf7bb25ccfd7d6384ee837c051b31120d227cbc6e0febe8207790e0023e,admitted,60,1743,1600,29.021972934761035,34.42334480780259,40.727,45.057,54.446,0,0,0
pgr2_snapshot,main,preflight,322986f4c5502b3fa887a9605ac8cd88e9b2c579,992c5cf7bb25ccfd7d6384ee837c051b31120d227cbc6e0febe8207790e0023e,admitted,60,1787,1644,29.801136148375726,33.56366480134301,37.784,42.059,61.583,0,0,0
pgr2_snapshot,pr104,a,c7ad1218a6b3ce3bbbd3c2703a54cac3c5d04109,379774b6de338f7ea5a946cd770f51adfff8c5360b9931a1d26f3330e337d5da,admitted,60,1782,1639,29.691669135386746,33.67327665544333,38.768,42.235,48.891,0,0,0
pgr2_snapshot,pr104,b,c7ad1218a6b3ce3bbbd3c2703a54cac3c5d04109,379774b6de338f7ea5a946cd770f51adfff8c5360b9931a1d26f3330e337d5da,admitted,60,1779,1636,29.63919963145938,33.73295165823492,38.675,42.133,52.663,0,0,0
pgr2_snapshot,pr105,a,ae95c4433a74ef146b5e018f2f2e45053e9e2894,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,admitted,60,1773,1632,29.546283683102857,33.84541567963908,39.681,43.393,57.579,0,0,0
pgr2_snapshot,pr105,b,ae95c4433a74ef146b5e018f2f2e45053e9e2894,3786c01cc72f0ce946973b9fccecbe289af46185684d319e43b10ae5a4258bde,admitted,60,1781,1635,29.63216049604563,33.71446883773159,38.374,42.753,126.409,1,0,0
