renderer,id,kind,outcome,iterations,average_us,median_us,p95_us,framebuffer_fnv1a64
opengl,busy_pfifo.pfifo_saturation,leaf,PASS,10,,,,1508607624bb8506
opengl,busy_pfifo.pgraph_pattern_polling,leaf,PASS,1,,,,386d0f085e98c325
opengl,cpu_floating_point.sse_scalar,leaf,PASS,10,,,,6962077c244da325
opengl,cpu_floating_point.x87_scalar,leaf,PASS,10,,,,6962077c244da325
opengl,cpu_translation_blocks.direct_loop,leaf,PASS,10,,,,bd1fc9bf0c318325
opengl,cpu_translation_blocks.indirect_dispatch,leaf,PASS,10,,,,c0426cf669a02325
opengl,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,10,,,,fbd507cb0c622325
opengl,fill_rate.solid,leaf,PASS,10,,,,08b0f60773aac775
opengl,fill_rate.textured,leaf,PASS,10,,,,99b433323df1684d
opengl,game_load.long_unlocked_scene.cpu,leaf,PASS,8,,,,4efd9244c4ad2325
opengl,game_load.long_unlocked_scene.pfifo,leaf,PASS,8,,,,4efd9244c4ad2325
opengl,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,8,,,,4efd9244c4ad2325
opengl,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,8,,,,4efd9244c4ad2325
opengl,game_load.long_unlocked_scene.combined,leaf,PASS,8,,,,4efd9244c4ad2325
opengl,game_load.long_unlocked_scene.full_system,leaf,PASS,8,,,,4efd9244c4ad2325
opengl,game_load.long_unlocked_scene,group,PASS,0,,,,4efd9244c4ad2325
opengl,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,8,,,,ea21c900993ea325
opengl,game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,8,,,,151015a16ca46325
opengl,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,8,,,,44fcd2c900a5a325
opengl,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,8,,,,37f87c4938cd6325
opengl,game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,8,,,,4f8b2eab497ca325
opengl,game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,8,,,,58e80f99c5a56325
opengl,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,8,,,,6b9bae4b9c97a325
opengl,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,8,,,,2b9db92162606325
opengl,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,8,,,,32a69ec6dce52325
opengl,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,8,,,,1a65246e1a0ea325
opengl,game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,8,,,,e30500792076e325
opengl,game_load.cross_title_hotpath,group,PASS,0,,,,e30500792076e325
opengl,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,8,,,,b5068d7386341bd1
opengl,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,8,,,,428c04bbb0a62725
opengl,game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,8,,,,46485ce21c9c88cb
opengl,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,8,,,,428c04bbb0a62725
opengl,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,8,,,,3403675459d4d3d5
opengl,game_load.s3tc_sync_factor,group,PASS,0,,,,3403675459d4d3d5
opengl,game_load.repeated_display,leaf,PASS,8,,,,e758dbbf4edc2325
opengl,game_load.repeated_display_boosted,leaf,PASS,8,,,,60315b1c33b6a325
opengl,game_load.doax_menu_representative.cpu_only,leaf,PASS,8,,,,c9ffff20249e2325
opengl,game_load.doax_menu_representative.pfifo_only,leaf,PASS,8,,,,db52eb2ea2ee6325
opengl,game_load.doax_menu_representative.gpu_only,leaf,PASS,8,,,,fbd6d6be7f982325
opengl,game_load.doax_menu_representative.streaming_only,leaf,PASS,8,,,,f94303d175056325
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,8,,,,04157941d1aa6325
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,8,,,,e6d7900d809f6325
opengl,game_load.doax_menu_representative.full_system,leaf,PASS,8,,,,3ebb8ee340a52325
opengl,game_load.doax_menu_stress.cpu_only,leaf,PASS,8,,,,312802588e58a325
opengl,game_load.doax_menu_stress.pfifo_only,leaf,PASS,8,,,,6251472ce3a6e325
opengl,game_load.doax_menu_stress.gpu_only,leaf,PASS,8,,,,30126b41ecb96325
opengl,game_load.doax_menu_stress.streaming_only,leaf,PASS,8,,,,5b922e3ee1312325
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,8,,,,c94959246d55a325
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,8,,,,5dbf320b91a86325
opengl,game_load.doax_menu_stress.full_system,leaf,PASS,8,,,,545f7965debce325
opengl,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,8,,,,e086b0a920c42325
opengl,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,8,,,,5bc1b07714da2325
opengl,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,8,,,,f8348ac6eeaaa325
opengl,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,8,,,,f43007e31b972325
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,8,,,,48c0585f003ea325
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,8,,,,e0430415b6dbe325
opengl,game_load.pgr2_ai_backup.full_system,leaf,PASS,8,,,,cb91c33db5046325
opengl,high_vertex_count.arrays,leaf,PASS,100,,,,a27c67890c2d9083
opengl,high_vertex_count.inline_arrays,leaf,PASS,10,,,,a27c67890c2d9083
opengl,high_vertex_count.inline_buffers,leaf,PASS,5,,,,a27c67890c2d9083
opengl,high_vertex_count.inline_elements,leaf,PASS,50,,,,a27c67890c2d9083
opengl,pfifo_array_elements.array_element_pgr2,leaf,PASS,8,,,,bbc8b0702ffd0325
opengl,pfifo_array_elements.array_element16,leaf,PASS,8,,,,9c884de2a5d32325
opengl,pfifo_array_elements.array_element32,leaf,PASS,8,,,,e079f0cf1a994325
opengl,pfifo_packet_boundary.array_element16_overflow,leaf,PASS,1,,,,4d1756526f052325
opengl,pfifo_packet_boundary.array_element32_overflow,leaf,PASS,1,,,,6eb7071be692a325
opengl,pfifo_packet_boundary.inline_array_overflow,leaf,PASS,1,,,,847da1930526a325
opengl,pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,1,,,,640439ee8ecd2325
opengl,pipeline_texture_switch.clear_texture_normal,leaf,PASS,8,,,,22ba4f1405cda325
opengl,pipeline_texture_switch.palette_only_update,leaf,PASS,1,,,,467aab2f95cda325
opengl,pipeline_texture_switch.sampler_only_identity,leaf,PASS,8,,,,0b8438c8404da325
opengl,pipeline_texture_switch.shader_negative_control,leaf,PASS,8,,,,f110c8bd6338c325
opengl,pipeline_texture_switch.shared_page_overlap,leaf,PASS,1,,,,83bb59a8648da325
opengl,pipeline_texture_switch.texture_switch,leaf,PASS,8,,,,8ae05d31fb00c325
opengl,primitive_type.line_loop.fixed_function,leaf,PASS,10,,,,e029a36a3b91c6cc
opengl,primitive_type.line_loop.vertex_shader,leaf,PASS,10,,,,e029a36a3b91c6cc
opengl,primitive_type.line_strip.fixed_function,leaf,PASS,10,,,,05e55de77521d31a
opengl,primitive_type.line_strip.vertex_shader,leaf,PASS,10,,,,05e55de77521d31a
opengl,primitive_type.lines.fixed_function,leaf,PASS,10,,,,e1c19d5c7e7898ab
opengl,primitive_type.lines.vertex_shader,leaf,PASS,10,,,,e1c19d5c7e7898ab
opengl,primitive_type.points.fixed_function,leaf,PASS,10,,,,5b296619f665c070
opengl,primitive_type.points.vertex_shader,leaf,PASS,10,,,,5b296619f665c070
opengl,primitive_type.polygon.fixed_function,leaf,PASS,10,,,,2c4beaa06aba1000
opengl,primitive_type.polygon.vertex_shader,leaf,PASS,10,,,,2c4beaa06aba1000
opengl,primitive_type.quad_strip.fixed_function,leaf,PASS,10,,,,f64b4495347cec73
opengl,primitive_type.quad_strip.vertex_shader,leaf,PASS,10,,,,f64b4495347cec73
opengl,primitive_type.quads.fixed_function,leaf,PASS,10,,,,114a1419338256e5
opengl,primitive_type.quads.vertex_shader,leaf,PASS,10,,,,114a1419338256e5
opengl,primitive_type.triangle_fan.fixed_function,leaf,PASS,10,,,,36644f0fd11db166
opengl,primitive_type.triangle_fan.vertex_shader,leaf,PASS,10,,,,36644f0fd11db166
opengl,primitive_type.triangle_strip.fixed_function,leaf,PASS,10,,,,d7b289579fdaa1ab
opengl,primitive_type.triangle_strip.vertex_shader,leaf,PASS,10,,,,d7b289579fdaa1ab
opengl,primitive_type.triangles.fixed_function,leaf,PASS,10,,,,72f05baf369ceb60
opengl,primitive_type.triangles.vertex_shader,leaf,PASS,10,,,,72f05baf369ceb60
opengl,report_query.clear_boundary,leaf,PASS,4,,,,b5eb7c4b9c8da325
opengl,report_query.dma_descriptor_rewrite,leaf,PASS,1,,,,c0c0fdbececda325
opengl,report_query.dma_range_guard,leaf,FAIL,1,,,,3f648ce11a4da325
opengl,report_query.dma_target_switch,leaf,PASS,4,,,,4c4bd8cd440da325
opengl,report_query.fifo_producer_ordering,leaf,PASS,4,,,,0d907c24a88da325
opengl,report_query.multiple_boundaries,leaf,PASS,4,,,,0c966fc9ba4da325
opengl,report_query.single_boundary,leaf,PASS,4,,,,60e674c9fecda325
opengl,report_query.zero_query,leaf,PASS,4,,,,23875dfeb40da325
opengl,surface.basic,leaf,PASS,10,,,,0f44c0df337b52bc
opengl,surface.cpu_read_after_gpu_write,leaf,PASS,20,,,,76ea18af98322325
opengl,surface.cpu_read_clean_surface,leaf,PASS,100,,,,d3267b427820a325
opengl,surface.framebuffer_working_set_002,leaf,PASS,20,,,,9f3b0609a42777d5
opengl,surface.framebuffer_working_set_008,leaf,PASS,20,,,,64cbf95dec8f59e5
opengl,surface.framebuffer_working_set_032,leaf,PASS,20,,,,a6116feb11a28c25
opengl,surface.framebuffer_working_set_064,leaf,PASS,20,,,,a6116feb11a28c25
opengl,surface.full_clear_elision_guard,leaf,PASS,100,,,,4f05ccd43f43d495
opengl,surface.overlapping_surface_churn_representative,leaf,PASS,100,,,,caf66d4bf5691525
opengl,surface.overlapping_surface_churn_stress,leaf,PASS,10,,,,caf66d4bf5691525
opengl,surface.partial_channel_clear_guard,leaf,PASS,100,,,,eb2cb498aa73af25
opengl,surface.surface_download_path,leaf,PASS,10,,,,2b0e8aac0f8838e8
opengl,surface.surface_list_lookup_002,leaf,PASS,20,,,,dce4c9394e7a3f35
opengl,surface.surface_list_lookup_008,leaf,PASS,20,,,,bf1fe5b8fe78a94d
opengl,surface.surface_list_lookup_032,leaf,PASS,20,,,,c6275b91195a5325
opengl,surface.surface_list_lookup_128,leaf,PASS,20,,,,c6275b91195a5325
opengl,surface.vulkan_memory_pressure.representative.growth,leaf,PASS,4,,,,c1b304b452852b25
opengl,surface.vulkan_memory_pressure.representative.plateau,leaf,PASS,4,,,,730005d86af45b25
opengl,surface.vulkan_memory_pressure.representative.alias_resize,leaf,PASS,4,,,,0c26236493b4d325
opengl,surface.vulkan_memory_pressure.representative.reuse,leaf,PASS,4,,,,3ba0d18066aacb25
opengl,surface.vulkan_memory_pressure.representative.idle_retention,leaf,PASS,4,,,,3a8651789ea0fa25
opengl,surface.vulkan_memory_pressure.representative,group,PASS,0,,,,7e188dabb186cb25
opengl,surface.vulkan_memory_pressure.stress.growth,leaf,PASS,4,,,,94cdb4bddb0e4b25
opengl,surface.vulkan_memory_pressure.stress.plateau,leaf,PASS,4,,,,196f33989be28325
opengl,surface.vulkan_memory_pressure.stress.alias_resize,leaf,PASS,4,,,,84a8d75f1f9d1b25
opengl,surface.vulkan_memory_pressure.stress.reuse,leaf,PASS,4,,,,fb2a6abd1cbfc725
opengl,surface.vulkan_memory_pressure.stress.idle_retention,leaf,PASS,4,,,,430711a262877725
opengl,surface.vulkan_memory_pressure.stress,group,PASS,0,,,,7e188dabb186cb25
opengl,tiny_draw.arrays.fixed_function,leaf,PASS,10,,,,acf025546cf667b5
opengl,tiny_draw.arrays.vertex_shader,leaf,PASS,10,,,,acf025546cf667b5
opengl,tiny_draw.inline_arrays.fixed_function,leaf,PASS,10,,,,acf025546cf667b5
opengl,tiny_draw.inline_arrays.vertex_shader,leaf,PASS,10,,,,acf025546cf667b5
opengl,tiny_draw.inline_buffers.fixed_function,leaf,PASS,10,,,,acf025546cf667b5
opengl,tiny_draw.inline_buffers.vertex_shader,leaf,PASS,10,,,,acf025546cf667b5
opengl,tiny_draw.inline_elements.fixed_function,leaf,PASS,10,,,,acf025546cf667b5
opengl,tiny_draw.inline_elements.vertex_shader,leaf,PASS,10,,,,acf025546cf667b5
opengl,uniform_thrash.uniform_thrash,leaf,PASS,10,,,,09eb5907ef624c25
opengl,vertex_buffer_allocation.mixed.arrays,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.mixed.inline_arrays,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.mixed.inline_buffers,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.mixed.inline_elements,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.tiny.arrays,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.tiny.inline_arrays,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.tiny.inline_buffers,leaf,PASS,10,,,,377e6c029807f325
