workload,renderer,comparison,run,metric,raw_plus,unit,reference,candidate,improvement_percent,gate,notes
PGR2 full start,Vulkan,candidate vs previous main,candidate median r1/r2,average frame interval,+bad,ms,33.34258800666299,33.33333564686286,0.027749375058371144,PASS,Two candidate observations; one parent observation.
PGR2 full start,Vulkan,candidate vs previous main,candidate median r1/r2,p95 frame interval,+bad,ms,33.8,33.861000000000004,-0.18047337278108597,PASS,Two candidate observations; one parent observation.
PGR2 full start,Vulkan,candidate vs previous main,candidate median r1/r2,p99 frame interval,+bad,ms,34.757,34.8725,-0.3323071611474074,PASS,Two candidate observations; one parent observation.
PGR2 full start,Vulkan,candidate vs fixed published baseline,candidate median r1/r2,average frame interval,+bad,ms,33.333301,33.33333564686286,-0.00010394068939590551,PASS,Published immutable baseline reused; no rebuild.
PGR2 full start,Vulkan,candidate vs fixed published baseline,candidate median r1/r2,p95 frame interval,+bad,ms,33.412,33.861000000000004,-1.343828564587589,PASS,Published immutable baseline reused; no rebuild.
PGR2 full start,Vulkan,candidate vs fixed published baseline,candidate median r1/r2,p99 frame interval,+bad,ms,34.497,34.8725,-1.0885004493144401,PASS,Published immutable baseline reused; no rebuild.
PGR2 full start,OpenGL,candidate vs fixed published baseline,candidate r1,average frame interval,+bad,ms,33.342601,33.33331520532741,0.027849640982096233,PASS,Renderer control; PR11 product paths are Vulkan-only.
PGR2 full start,OpenGL,candidate vs fixed published baseline,candidate r1,p95 frame interval,+bad,ms,33.822,33.541,0.8308201762166811,PASS,Renderer control; PR11 product paths are Vulkan-only.
PGR2 full start,OpenGL,candidate vs fixed published baseline,candidate r1,p99 frame interval,+bad,ms,36.059,34.638,3.9407637483013933,PASS,Renderer control; PR11 product paths are Vulkan-only.
PGR2 snapshot,Vulkan,candidate vs fixed published baseline,candidate median r1/r2,average frame interval,+bad,ms,34.483841,34.70031714380343,-0.6277611122364045,PASS,Historical p95 crosses 2%; same-session identical-baseline control proves host shift.
PGR2 snapshot,Vulkan,candidate vs fixed published baseline,candidate median r1/r2,p95 frame interval,+bad,ms,40.91,41.755,-2.0655096553410073,FAIL,Historical p95 crosses 2%; same-session identical-baseline control proves host shift.
PGR2 snapshot,Vulkan,candidate vs fixed published baseline,candidate median r1/r2,p99 frame interval,+bad,ms,45.186,45.8735,-1.5214889567565175,PASS,Historical p95 crosses 2%; same-session identical-baseline control proves host shift.
PGR2 snapshot,Vulkan,candidate r2 vs same-session baseline control,adjacent host control,average frame interval,+bad,ms,34.93705649388462,35.01699474605959,-0.22880648857456432,PASS,"Same immutable baseline executable, current host session."
PGR2 snapshot,Vulkan,candidate r2 vs same-session baseline control,adjacent host control,p95 frame interval,+bad,ms,41.772,42.139,-0.8785789524083224,PASS,"Same immutable baseline executable, current host session."
PGR2 snapshot,Vulkan,candidate r2 vs same-session baseline control,adjacent host control,p99 frame interval,+bad,ms,46.044,45.841,0.44088263400224975,PASS,"Same immutable baseline executable, current host session."
