"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"candidate","opengl","busy_pfifo.pfifo_saturation","PASS","10","10","106698","106602","102683","110138","1066980","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","busy_pfifo.pgraph_pattern_polling","PASS","1","1","4489854","4489854","4489854","4489854","4489854","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","cpu_floating_point.sse_scalar","PASS","10","10","511605","510419.5","501579","519846","5116058","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","cpu_floating_point.x87_scalar","PASS","10","10","790351","790689","787572","792113","7903514","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","cpu_translation_blocks.direct_loop","PASS","10","10","9985","9940.5","9834","10490","99856","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","cpu_translation_blocks.indirect_dispatch","PASS","10","10","40127","39997","39543","41518","401278","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","cpu_translation_blocks.indirect_dispatch_stress","PASS","10","10","794581","794267.5","790302","797975","7945812","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","fill_rate.solid","PASS","10","10","1756","1755","1162","2546","17564","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","fill_rate.textured","PASS","10","10","1991","2008","1712","2155","19916","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.long_unlocked_scene.cpu","PASS","8","8","24154","24213","23806","24505","193235","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.long_unlocked_scene.pfifo","PASS","8","8","4729","4656.5","4588","4946","37837","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.long_unlocked_scene.alpha_overdraw","PASS","8","8","35286","35282","34898","35700","282294","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.long_unlocked_scene.streaming_surface_reuse","PASS","8","8","9037","9194.5","7850","9450","72297","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.long_unlocked_scene.combined","PASS","8","8","72993","73180","72020","73706","583949","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.long_unlocked_scene.full_system","PASS","8","8","72794","72742.5","72034","73892","582354","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.queued_vertex_cpu_writes","PASS","8","8","54145","50139.5","49576","66434","433162","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.pgr2_small_draws","PASS","8","8","108801","108869.5","107816","110301","870410","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.texture_update_reuse","PASS","8","8","3021","2947.5","2710","3745","24171","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.surface_reuse","PASS","8","8","6350","6248.5","5218","8974","50803","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.pipeline_state_churn","PASS","8","8","66465","66455","64698","67877","531720","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.blend_constant_reuse","PASS","8","8","102760","100268.5","99505","111419","822082","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.texture_binding_reuse","PASS","8","8","149343","149931","143980","151451","1194744","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","PASS","8","8","99486","99321","90191","110605","795889","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.scaled_surface_pressure","PASS","8","8","225980","224525.5","213937","238475","1807845","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","PASS","8","8","2025919","2024798","2004534","2052058","16207359","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.cross_title_hotpath.gpu_wait_control","PASS","8","8","2478","2552.5","1834","2762","19826","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.dxt1_same_address_wait","PASS","8","8","17356","16581.5","15127","24169","138853","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.dxt1_same_address_queued","PASS","8","8","15272","16378","6333","18101","122181","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.dxt1_ring_payload_generations","PASS","8","8","16364","16478","15049","17182","130917","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.dxt1_dirty_once_redraw","PASS","8","8","15911","16555.5","10292","17242","127289","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.rgba8_same_address_wait","PASS","8","8","50059","50101","49184","51293","400479","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.rgba8_same_address_queued","PASS","8","8","49296","49889.5","43410","50871","394375","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.rgba8_ring_payload_generations","PASS","8","8","49708","49521.5","47122","51561","397669","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.rgba8_dirty_once_redraw","PASS","8","8","17118","16738.5","16144","20765","136947","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.bc2_native_eligible","PASS","8","8","16618","16685.5","16227","16839","132944","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.bc2_bordered_fallback","PASS","8","8","49087","49983.5","43869","50726","392698","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.bc3_native_eligible","PASS","8","8","17760","16776.5","16161","25121","142087","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.s3tc_sync_factor.bc3_bordered_fallback","PASS","8","8","49107","49652","43929","50894","392856","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.repeated_display","PASS","8","8","16669","16600.5","16306","17105","133358","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.repeated_display_boosted","PASS","8","8","47993","49980.5","34106","50060","383947","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_representative.cpu_only","PASS","8","8","13657","13599.5","13378","13964","109259","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_representative.pfifo_only","PASS","8","8","2439","2454.5","2316","2565","19516","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_representative.gpu_only","PASS","8","8","17648","17452","17257","18442","141186","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_representative.streaming_only","PASS","8","8","4857","4730","4408","5478","38862","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_representative.cpu_pfifo_gpu","PASS","8","8","33293","33241.5","32840","33806","266348","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","PASS","8","8","36702","36762","35549","37698","293622","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_representative.full_system","PASS","8","8","37093","36619.5","35888","40702","296746","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_stress.cpu_only","PASS","8","8","27174","27018.5","26781","27652","217398","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_stress.pfifo_only","PASS","8","8","4762","4743.5","4546","5052","38103","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_stress.gpu_only","PASS","8","8","35008","34896.5","34580","35678","280066","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_stress.streaming_only","PASS","8","8","8535","8515.5","7812","9208","68287","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_stress.cpu_pfifo_gpu","PASS","8","8","66800","66797","66285","67223","534400","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","PASS","8","8","72024","72022.5","70900","73771","576193","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.doax_menu_stress.full_system","PASS","8","8","73502","72775","71368","79747","588018","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","game_load.pgr2_ai_backup.cpu_only","PASS","8","8","42531","42469.5","41988","42980","340251","Context only: live-marker waiver; no PR-grade performance claim"
