"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"candidate","vulkan","busy_pfifo.pfifo_saturation","PASS","10","10","103305","103101","101754","105511","1033054","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","busy_pfifo.pgraph_pattern_polling","PASS","1","1","4530851","4530851","4530851","4530851","4530851","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","cpu_floating_point.sse_scalar","PASS","10","10","506010","509039","488639","514885","5060108","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","cpu_floating_point.x87_scalar","PASS","10","10","790995","790640","787102","794379","7909955","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","cpu_translation_blocks.direct_loop","PASS","10","10","9894","9869.5","9841","10006","98947","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","cpu_translation_blocks.indirect_dispatch","PASS","10","10","39775","39586.5","39335","40742","397758","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","cpu_translation_blocks.indirect_dispatch_stress","PASS","10","10","793096","792949","791064","795432","7930965","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","fill_rate.solid","PASS","10","10","1911","1229","1187","7500","19114","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","fill_rate.textured","PASS","10","10","2047","1318.5","1182","8603","20479","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.long_unlocked_scene.cpu","PASS","8","8","24017","23892","23782","24504","192142","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.long_unlocked_scene.pfifo","PASS","8","8","5015","4924.5","4884","5542","40122","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.long_unlocked_scene.alpha_overdraw","PASS","8","8","35406","35420","34606","36351","283250","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.long_unlocked_scene.streaming_surface_reuse","PASS","8","8","11779","11412","10846","13478","94232","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.long_unlocked_scene.combined","PASS","8","8","75935","75839.5","73437","78196","607482","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.long_unlocked_scene.full_system","PASS","8","8","76399","76151.5","74542","78042","611197","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.queued_vertex_cpu_writes","PASS","8","8","87169","83984","82246","97939","697359","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.pgr2_small_draws","PASS","8","8","113298","113743","110197","116565","906391","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.texture_update_reuse","PASS","8","8","3177","3150.5","2947","3792","25420","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.surface_reuse","PASS","8","8","9268","9410.5","8526","10020","74148","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.pipeline_state_churn","PASS","8","8","66504","66754","64278","67729","532032","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.blend_constant_reuse","PASS","8","8","180480","182226","168253","187766","1443844","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.texture_binding_reuse","PASS","8","8","217810","218207","214536","220273","1742481","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","PASS","8","8","133263","128343","125678","156941","1066104","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.scaled_surface_pressure","PASS","8","8","643839","651216.5","600272","665818","5150716","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","PASS","8","8","1364699","1358249","1348391","1428064","10917593","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.cross_title_hotpath.gpu_wait_control","PASS","8","8","1367","1323","1273","1539","10937","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.dxt1_same_address_wait","PASS","8","8","17456","16666","15049","24769","139651","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.dxt1_same_address_queued","PASS","8","8","16841","16686.5","16229","18104","134732","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.dxt1_ring_payload_generations","PASS","8","8","15433","16592.5","7529","16799","123464","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.dxt1_dirty_once_redraw","PASS","8","8","15311","16596.5","6237","16923","122492","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.rgba8_same_address_wait","PASS","8","8","49996","50041","44749","55425","399970","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.rgba8_same_address_queued","PASS","8","8","50559","50012","48493","55601","404479","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.rgba8_ring_payload_generations","PASS","8","8","48709","49739.5","40324","51082","389676","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.rgba8_dirty_once_redraw","PASS","8","8","15682","16571.5","9222","17029","125463","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.bc2_native_eligible","PASS","8","8","16441","16565.5","15356","17030","131530","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.bc2_bordered_fallback","PASS","8","8","50468","50200.5","48127","54754","403745","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.bc3_native_eligible","PASS","8","8","18173","16668","16272","29049","145387","Context only: live-marker waiver; no PR-grade performance claim"
