"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"previous-main","opengl","busy_pfifo.pfifo_saturation","PASS","10","10","102170","102118.5","100577","104095","1021702","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","busy_pfifo.pgraph_pattern_polling","PASS","1","1","4915050","4915050","4915050","4915050","4915050","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","cpu_floating_point.sse_scalar","PASS","10","10","498543","499118","490792","502959","4985430","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","cpu_floating_point.x87_scalar","PASS","10","10","784567","783905","782333","787961","7845677","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","cpu_translation_blocks.direct_loop","PASS","10","10","9952","9953","9810","10287","99525","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","cpu_translation_blocks.indirect_dispatch","PASS","10","10","39803","39780","39059","40361","398031","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","cpu_translation_blocks.indirect_dispatch_stress","PASS","10","10","790405","790554","786808","792699","7904052","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","fill_rate.solid","PASS","10","10","1967","1969.5","1360","2571","19678","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","fill_rate.textured","PASS","10","10","1883","1888","1233","2294","18836","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.long_unlocked_scene.cpu","PASS","8","8","24273","24116","24018","25148","194190","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.long_unlocked_scene.pfifo","PASS","8","8","5082","5029","4743","5632","40656","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.long_unlocked_scene.alpha_overdraw","PASS","8","8","34505","34360.5","34035","35046","276043","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.long_unlocked_scene.streaming_surface_reuse","PASS","8","8","8758","8787","8268","9319","70065","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.long_unlocked_scene.combined","PASS","8","8","71891","71533","70420","74208","575133","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.long_unlocked_scene.full_system","PASS","8","8","72149","72213.5","70833","73737","577193","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.queued_vertex_cpu_writes","PASS","8","8","51771","50452.5","48759","63565","414175","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.pgr2_small_draws","PASS","8","8","108368","108629","106865","109528","866949","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.texture_update_reuse","PASS","8","8","2973","3013","2694","3251","23784","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.surface_reuse","PASS","8","8","6074","6052","5677","6613","48599","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.pipeline_state_churn","PASS","8","8","66645","66792","65742","67245","533162","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.blend_constant_reuse","PASS","8","8","100422","100157","98619","103415","803377","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.texture_binding_reuse","PASS","8","8","147167","149217","135523","151492","1177339","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","PASS","8","8","99596","99777","96244","101466","796774","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.scaled_surface_pressure","PASS","8","8","231386","232405","218505","239391","1851090","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","PASS","8","8","2018064","2014602","1998318","2047738","16144519","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.cross_title_hotpath.gpu_wait_control","PASS","8","8","2486","2447.5","2293","2809","19895","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.s3tc_sync_factor.dxt1_same_address_wait","PASS","8","8","17778","16857","14846","25748","142227","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.s3tc_sync_factor.dxt1_same_address_queued","PASS","8","8","15394","16426.5","6669","17680","123153","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.s3tc_sync_factor.dxt1_ring_payload_generations","PASS","8","8","15572","16549.5","8239","17859","124582","Context only: live-marker waiver; no PR-grade performance claim"
