"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"previous-main","vulkan","busy_pfifo.pfifo_saturation","PASS","10","10","112588","112629","111054","113793","1125880","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","busy_pfifo.pgraph_pattern_polling","PASS","1","1","4930185","4930185","4930185","4930185","4930185","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","cpu_floating_point.sse_scalar","PASS","10","10","506674","505798.5","496381","514852","5066741","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","cpu_floating_point.x87_scalar","PASS","10","10","791077","791351","785907","795976","7910772","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","cpu_translation_blocks.direct_loop","PASS","10","10","9868","9861","9765","9994","98686","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","cpu_translation_blocks.indirect_dispatch","PASS","10","10","39816","39858","39246","40589","398161","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","cpu_translation_blocks.indirect_dispatch_stress","PASS","10","10","798964","798454.5","794369","804495","7989649","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","fill_rate.solid","PASS","10","10","1992","1278.5","1176","7928","19923","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","fill_rate.textured","PASS","10","10","2110","1310.5","1203","9231","21101","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.long_unlocked_scene.cpu","PASS","8","8","24239","24085.5","23889","24929","193912","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.long_unlocked_scene.pfifo","PASS","8","8","5155","5065","4991","5654","41243","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.long_unlocked_scene.alpha_overdraw","PASS","8","8","35375","35451","33616","37330","283003","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.long_unlocked_scene.streaming_surface_reuse","PASS","8","8","12227","11606","10962","16299","97820","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.long_unlocked_scene.combined","PASS","8","8","76366","76256.5","74280","79175","610935","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.long_unlocked_scene.full_system","PASS","8","8","76170","76064.5","75032","78217","609362","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.queued_vertex_cpu_writes","PASS","8","8","93351","98217.5","83331","100951","746814","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.pgr2_small_draws","PASS","8","8","114947","115033","111527","118792","919579","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.texture_update_reuse","PASS","8","8","3107","3034","2971","3677","24857","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.surface_reuse","PASS","8","8","9138","8835.5","7894","12855","73108","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.pipeline_state_churn","PASS","8","8","66976","67398.5","64806","69047","535814","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.blend_constant_reuse","PASS","8","8","170428","167550","165192","185481","1363429","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.texture_binding_reuse","PASS","8","8","220296","219347.5","215233","231366","1762372","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","PASS","8","8","129687","128978","117588","143531","1037496","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.scaled_surface_pressure","PASS","8","8","652270","654933","628390","668655","5218165","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","PASS","8","8","1243437","1240044","1226629","1293031","9947499","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.cross_title_hotpath.gpu_wait_control","PASS","8","8","1339","1290.5","1192","1542","10712","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.dxt1_same_address_wait","PASS","8","8","17564","16541","15801","25113","140519","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.dxt1_same_address_queued","PASS","8","8","17072","16677.5","15753","20230","136582","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.dxt1_ring_payload_generations","PASS","8","8","15829","16598","10442","16791","126639","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.dxt1_dirty_once_redraw","PASS","8","8","15793","16700","9984","16830","126349","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.rgba8_same_address_wait","PASS","8","8","49955","49836.5","46409","53339","399642","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.rgba8_same_address_queued","PASS","8","8","48654","49753","39222","51093","389232","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.rgba8_ring_payload_generations","PASS","8","8","49118","49824","43380","50709","392950","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.rgba8_dirty_once_redraw","PASS","8","8","16405","16500","14676","17677","131247","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.bc2_native_eligible","PASS","8","8","16491","16650","15776","16825","131932","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.bc2_bordered_fallback","PASS","8","8","48496","49788.5","38746","50753","387972","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.bc3_native_eligible","PASS","8","8","16554","16581.5","16243","16855","132433","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.s3tc_sync_factor.bc3_bordered_fallback","PASS","8","8","48494","49818.5","39478","50399","387954","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.repeated_display","PASS","8","8","16542","16625.5","15891","16794","132336","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.repeated_display_boosted","PASS","8","8","49957","49991.5","49008","50990","399657","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_representative.cpu_only","PASS","8","8","13685","13519.5","13441","14402","109487","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_representative.pfifo_only","PASS","8","8","2567","2545.5","2505","2742","20541","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_representative.gpu_only","PASS","8","8","17827","17753","17433","18471","142621","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_representative.streaming_only","PASS","8","8","6504","6189","5602","8709","52032","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_representative.cpu_pfifo_gpu","PASS","8","8","34372","34401","33725","35138","274977","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","PASS","8","8","38765","38704.5","38264","39433","310120","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_representative.full_system","PASS","8","8","39421","39331.5","37945","42462","315371","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_stress.cpu_only","PASS","8","8","27006","27107.5","26460","27282","216048","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_stress.pfifo_only","PASS","8","8","5130","5147","5010","5186","41045","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_stress.gpu_only","PASS","8","8","36050","36069.5","35327","37106","288405","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_stress.streaming_only","PASS","8","8","11242","11164.5","10755","11847","89937","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_stress.cpu_pfifo_gpu","PASS","8","8","67883","67765.5","65644","69669","543065","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","PASS","8","8","76671","76865","75668","77441","613374","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.doax_menu_stress.full_system","PASS","8","8","80671","79155.5","76499","91490","645368","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.pgr2_ai_backup.cpu_only","PASS","8","8","42719","42722","42152","43190","341754","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.pgr2_ai_backup.pfifo_only","PASS","8","8","16896","16899.5","16730","17065","135171","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.pgr2_ai_backup.gpu_only","PASS","8","8","92245","92238","90542","93817","737965","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.pgr2_ai_backup.streaming_only","PASS","8","8","3805","3806.5","3658","4143","30442","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.pgr2_ai_backup.cpu_pfifo_gpu","PASS","8","8","151351","150986.5","150279","152826","1210808","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming","PASS","8","8","156211","155694","154182","160646","1249693","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","game_load.pgr2_ai_backup.full_system","PASS","8","8","156295","156165","153632","159395","1250360","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","high_vertex_count.arrays","PASS","100","100","166","88","74","7366","16679","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","high_vertex_count.inline_arrays","PASS","10","10","49535","49339.5","48806","50559","495351","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","high_vertex_count.inline_buffers","PASS","5","5","252248","252674","249653","253639","1261242","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","high_vertex_count.inline_elements","PASS","50","50","4041","4035","3978","4259","202094","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pfifo_array_elements.array_element_pgr2","PASS","8","8","1352","493","477","7224","10818","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pfifo_array_elements.array_element16","PASS","8","8","646","619","578","876","5170","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pfifo_array_elements.array_element32","PASS","8","8","1051","1039.5","1024","1144","8411","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pfifo_packet_boundary.array_element16_overflow","PASS","1","1","17055","17055","17055","17055","17055","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pfifo_packet_boundary.array_element32_overflow","PASS","1","1","32967","32967","32967","32967","32967","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pfifo_packet_boundary.inline_array_overflow","PASS","1","1","33236","33236","33236","33236","33236","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pfifo_packet_boundary.incrementing_inline_fallback","PASS","1","1","112","112","112","112","112","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","texture_cubemap_fallback.unbordered_subblock_dxt1","PASS","8","8","15288","16638","2865","19646","122306","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pipeline_texture_switch.clear_texture_normal","PASS","8","8","28236","28802.5","21774","33072","225888","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pipeline_texture_switch.palette_only_update","PASS","1","1","25760","25760","25760","25760","25760","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pipeline_texture_switch.sampler_only_identity","PASS","8","8","22876","23408.5","21357","23709","183010","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pipeline_texture_switch.shader_negative_control","PASS","8","8","20939","20505","17531","25754","167514","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pipeline_texture_switch.shared_page_overlap","PASS","1","1","20655","20655","20655","20655","20655","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","pipeline_texture_switch.texture_switch","PASS","8","8","19786","19568","18341","22793","158295","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.line_loop.fixed_function","PASS","10","10","1039","639","604","4699","10399","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.line_loop.vertex_shader","PASS","10","10","712","620.5","601","1268","7127","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.line_strip.fixed_function","PASS","10","10","870","642.5","604","2940","8705","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.line_strip.vertex_shader","PASS","10","10","679","638.5","610","1032","6791","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.lines.fixed_function","PASS","10","10","1462","1241.5","1206","3501","14621","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.lines.vertex_shader","PASS","10","10","1296","1216.5","1173","2002","12960","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.points.fixed_function","PASS","10","10","1202","633","608","6314","12023","Context only: live-marker waiver; no PR-grade performance claim"
