run_id,pair,renderer,build,phase,mean_ms,p95_ms,p99_ms,maximum_ms,cadence_hz,frame_interval_count,cadence_flip_count,cadence_elapsed_us,measured_window_us,host_present_count
pr59-attr-r1-pilot-01-opengl-b,0,OPENGL,B,pilot,34.77916027874565,42.274,46.742,56.865,28.944877375526048,287,145,5009522,10016092,596
pr59-attr-r1-pilot-02-opengl-am,0,OPENGL,AM,pilot,34.98975874125874,42.372,46.626,49.528,28.63829672139233,286,144,5028232,10039366,597
pr59-attr-r1-pilot-03-vulkan-am,0,VULKAN,AM,pilot,34.87405944055944,42.311,52.108,67.955,28.599061950768014,286,143,5000164,10012212,597
pr59-attr-r1-pilot-04-vulkan-b,0,VULKAN,B,pilot,34.25883219178082,41.178,52.195,67.621,29.19678835328114,292,146,5000550,10022276,597
pr59-attr-r1-01-opengl-b,1,OPENGL,B,measured,34.49363850574712,41.411,45.104,51.343,29.008527311175143,1740,1601,55190668,60050684,3596
pr59-attr-r1-02-opengl-am,1,OPENGL,AM,measured,35.69152885187388,42.904,47.018,67.316,28.05996445158907,1681,1551,55274482,60054021,3594
pr59-attr-r1-03-vulkan-am,1,VULKAN,AM,measured,34.95585664335665,42.03,46.459,65.974,28.640413123820373,1716,1580,55166802,60038267,3596
pr59-attr-r1-04-vulkan-b,1,VULKAN,B,measured,34.94291559953434,42.081,46.967,72.256,28.62676415831289,1718,1580,55193105,60042971,3596
pr59-attr-r1-05-vulkan-b,2,VULKAN,B,measured,34.5573534830167,41.512,46.196,57.005,28.933540652955415,1737,1598,55230019,60048226,3596
pr59-attr-r1-06-vulkan-am,2,VULKAN,AM,measured,35.16274384525205,42.363,47.235,69.401,28.41070669901438,1706,1567,55155263,60016029,3596
pr59-attr-r1-07-opengl-am,2,OPENGL,AM,measured,35.2102441314554,42.705,46.945,52.934,28.42740689557996,1704,1570,55228393,60026311,3595
pr59-attr-r1-08-opengl-b,2,OPENGL,B,measured,35.48126505312869,42.726,46.953,62.604,28.19302354476451,1694,1555,55155489,60115568,3597
pr59-attr-r1-09-opengl-b,3,OPENGL,B,measured,35.253667058132706,42.595,48.457,56.068,28.357302225336575,1703,1566,55223871,60066129,3597
pr59-attr-r1-10-opengl-am,3,OPENGL,AM,measured,35.65940071343638,43.46,47.058,58.637,28.06793889881327,1682,1550,55223150,60012775,3597
pr59-attr-r1-11-vulkan-am,3,VULKAN,AM,measured,35.28612345679012,42.106,48.109,70.871,28.35552795094077,1701,1565,55192060,60050563,3594
pr59-attr-r1-12-vulkan-b,3,VULKAN,B,measured,34.71137073452863,41.528,45.199,69.931,28.78381550360428,1729,1589,55204634,60038853,3594
pr59-attr-r1-13-vulkan-b,4,VULKAN,B,measured,34.81220011600928,41.709,47.269,68.902,28.741263687483862,1724,1588,55251572,60025974,3594
pr59-attr-r1-14-vulkan-am,4,VULKAN,AM,measured,34.42771141709696,40.784,45.488,59.97,29.04577946432951,1743,1603,55188741,60043886,3595
pr59-attr-r1-15-opengl-am,4,OPENGL,AM,measured,35.62206179441473,43.053,47.397,55.518,28.057837738845286,1683,1550,55243031,60022108,3597
pr59-attr-r1-16-opengl-b,4,OPENGL,B,measured,35.50165680473373,42.734,47.845,60.941,28.198757829303506,1690,1555,55144273,60030932,3596
pr59-attr-r1-17-opengl-b,5,OPENGL,B,measured,34.8845773255814,42.204,46.426,52.46,28.693645137851874,1720,1585,55238712,60035550,3595
pr59-attr-r1-18-opengl-am,5,OPENGL,AM,measured,34.66020797227036,41.668,46.344,54.664,28.86188184467042,1731,1594,55228554,60040419,3595
pr59-attr-r1-19-vulkan-am,5,VULKAN,AM,measured,34.84895644599303,41.979,47.361,61.286,28.668059153198776,1722,1583,55218248,60039102,3593
pr59-attr-r1-20-vulkan-b,5,VULKAN,B,measured,34.467072413793105,40.784,44.793,72.313,29.022330737213732,1740,1603,55233331,60013394,3595
