profile_frame,mapped_guest_frame,guest_interval_ms,stage,misses,first,repeat,saturated,unique_keys,unique_sources,same_key_repeat,different_key_same_source,generation_us_sum,compile_us_sum,module_create_us_sum,reflection_us_sum,pipeline_prepare_us,pipeline_prepare_calls
0,,,vertex,20,20,0,0,20,20,0,0,2427,75708,222,6829,,
0,,,geometry,5,4,1,0,5,4,0,1,203,8927,30,486,,
0,,,fragment,24,22,2,0,24,22,0,2,2075,62990,183,2925,,
1,,,vertex,39,28,11,0,39,28,0,11,4190,147821,466,11733,,
1,,,fragment,29,29,0,0,29,29,0,0,2310,80194,230,3761,,
423,,,vertex,3,2,1,0,3,3,0,1,258,12545,35,703,,
423,,,fragment,1,1,0,0,1,1,0,0,111,4064,9,110,,
557,558,47.594,vertex,1,1,0,0,1,1,0,0,60,2957,8,177,17668,4746
557,558,47.594,fragment,1,1,0,0,1,1,0,0,70,3183,8,162,17668,4746
672,673,59.493,vertex,2,2,0,0,2,2,0,0,529,12226,29,996,43738,4808
672,673,59.493,fragment,2,2,0,0,2,2,0,0,268,5991,14,273,43738,4808
794,795,35.765,vertex,1,0,1,0,1,1,0,1,102,3210,8,169,16930,4748
794,795,35.765,fragment,1,1,0,0,1,1,0,0,72,3221,8,113,16930,4748
808,809,42.604,vertex,1,1,0,0,1,1,0,0,93,3732,9,183,19513,4816
808,809,42.604,fragment,1,0,1,0,1,1,0,1,79,2690,7,145,19513,4816
809,810,36.908,fragment,1,1,0,0,1,1,0,0,86,3126,14,163,15467,4817
870,871,42.48,vertex,1,0,1,0,1,1,0,1,96,3816,16,238,15834,4748
890,891,55.387,vertex,1,1,0,0,1,1,0,0,109,3147,12,194,21378,4824
890,891,55.387,fragment,1,1,0,0,1,1,0,0,76,3290,10,139,21378,4824
1040,1041,35.542,fragment,1,1,0,0,1,1,0,0,104,3107,7,138,16355,4746
1876,1877,37.26,vertex,1,1,0,0,1,1,0,0,77,2992,10,211,14955,4817
1878,1879,38.909,fragment,1,1,0,0,1,1,0,0,93,3623,8,125,15824,4820
1879,1880,38.293,vertex,2,0,2,0,2,2,0,2,175,7785,17,396,19568,4824
1916,1917,41.431,fragment,1,1,0,0,1,1,0,0,84,3074,7,119,14413,4746
