status,incomplete_reasons,profile_frame,stage,stage_name,misses,first,repeat,saturated,unique_key_count,unique_source_count,same_key_repeat,different_key_same_source,generation_us_sum,generation_us_max,compile_us_sum,compile_us_max,module_create_us_sum,module_create_us_max,reflection_us_sum,reflection_us_max
complete,,0,1,vertex,20,20,0,0,20,20,0,0,2427,217,75708,5120,222,19,6829,669
complete,,0,8,geometry,5,4,1,0,5,4,0,1,203,56,8927,1867,30,10,486,112
complete,,0,16,fragment,24,22,2,0,24,22,0,2,2075,142,62990,3260,183,14,2925,169
complete,,1,1,vertex,39,28,11,0,39,28,0,11,4190,187,147821,5077,466,25,11733,556
complete,,1,16,fragment,29,29,0,0,29,29,0,0,2310,113,80194,4110,230,18,3761,237
complete,,423,1,vertex,3,2,1,0,3,3,0,1,258,94,12545,4512,35,15,703,239
complete,,423,16,fragment,1,1,0,0,1,1,0,0,111,111,4064,4064,9,9,110,110
complete,,557,1,vertex,1,1,0,0,1,1,0,0,60,60,2957,2957,8,8,177,177
complete,,557,16,fragment,1,1,0,0,1,1,0,0,70,70,3183,3183,8,8,162,162
complete,,672,1,vertex,2,2,0,0,2,2,0,0,529,279,12226,7013,29,17,996,562
complete,,672,16,fragment,2,2,0,0,2,2,0,0,268,153,5991,3029,14,7,273,142
complete,,794,1,vertex,1,0,1,0,1,1,0,1,102,102,3210,3210,8,8,169,169
complete,,794,16,fragment,1,1,0,0,1,1,0,0,72,72,3221,3221,8,8,113,113
complete,,808,1,vertex,1,1,0,0,1,1,0,0,93,93,3732,3732,9,9,183,183
complete,,808,16,fragment,1,0,1,0,1,1,0,1,79,79,2690,2690,7,7,145,145
complete,,809,16,fragment,1,1,0,0,1,1,0,0,86,86,3126,3126,14,14,163,163
complete,,870,1,vertex,1,0,1,0,1,1,0,1,96,96,3816,3816,16,16,238,238
complete,,890,1,vertex,1,1,0,0,1,1,0,0,109,109,3147,3147,12,12,194,194
complete,,890,16,fragment,1,1,0,0,1,1,0,0,76,76,3290,3290,10,10,139,139
complete,,1040,16,fragment,1,1,0,0,1,1,0,0,104,104,3107,3107,7,7,138,138
complete,,1876,1,vertex,1,1,0,0,1,1,0,0,77,77,2992,2992,10,10,211,211
complete,,1878,16,fragment,1,1,0,0,1,1,0,0,93,93,3623,3623,8,8,125,125
complete,,1879,1,vertex,2,0,2,0,2,2,0,2,175,91,7785,3974,17,9,396,220
complete,,1916,16,fragment,1,1,0,0,1,1,0,0,84,84,3074,3074,7,7,119,119
