"Role","Renderer","Cache","Records","Non_PASS","Functional_hash","Validation","Cache_hits","Cache_misses","Status"
"fixed_baseline","opengl","none","152","report_query.dma_range_guard","PASSED","n/a","n/a","n/a","passed"
"candidate","opengl","none","157","texture_cubemap_fallback.unbordered_subblock_dxt1, report_query.dma_range_guard","PASSED","n/a","n/a","n/a","passed"
"previous_main","opengl","none","157","texture_cubemap_fallback.unbordered_subblock_dxt1, report_query.dma_range_guard","PASSED","n/a","n/a","n/a","passed"
"previous_main","vulkan","none","157","report_query.dma_range_guard","PASSED","PASS","n/a","n/a","passed"
"candidate","vulkan","cold","157","report_query.dma_range_guard","PASSED","PASS","10","61","passed"
"candidate","vulkan","warm","157","report_query.dma_range_guard","PASSED","PASS","71","0","passed"
"fixed_baseline","vulkan","none","152","report_query.dma_range_guard","PASSED","PASS","n/a","n/a","passed"
"fixed_baseline","opengl","isolated","0","pfifo_packet_boundary.array_element16_overflow:ABORT","isolated control","n/a","n/a","n/a","inherited_pfifo_assert:ABORT"
"fixed_baseline","vulkan","isolated","0","pfifo_packet_boundary.array_element16_overflow:ABORT","isolated control","recorded per-cell","n/a","n/a","inherited_pfifo_assert:ABORT"
"fixed_baseline","opengl","isolated","0","pfifo_packet_boundary.array_element32_overflow:ABORT","isolated control","n/a","n/a","n/a","inherited_pfifo_assert:ABORT"
"fixed_baseline","vulkan","isolated","0","pfifo_packet_boundary.array_element32_overflow:ABORT","isolated control","recorded per-cell","n/a","n/a","inherited_pfifo_assert:ABORT"
"fixed_baseline","opengl","isolated","0","pfifo_packet_boundary.inline_array_overflow:ABORT","isolated control","n/a","n/a","n/a","inherited_pfifo_assert:ABORT"
"fixed_baseline","vulkan","isolated","0","pfifo_packet_boundary.inline_array_overflow:ABORT","isolated control","recorded per-cell","n/a","n/a","inherited_pfifo_assert:ABORT"
"fixed_baseline","opengl","isolated","1","","isolated control","n/a","n/a","n/a","completed:PASS"
"fixed_baseline","vulkan","isolated","1","","isolated control","recorded per-cell","n/a","n/a","completed:PASS"
"fixed_baseline","opengl","isolated","1","texture_cubemap_fallback.unbordered_subblock_dxt1:FAIL","isolated control","n/a","n/a","n/a","completed:FAIL"
"fixed_baseline","vulkan","isolated","1","","isolated control","recorded per-cell","n/a","n/a","completed:PASS"
