"Workload","Renderer","Candidate_cache","Metric","Unit","Baseline_median","Previous_main_median","Candidate_median","Improvement_vs_baseline","Improvement_vs_previous_main","Previous_main_vs_baseline","Baseline_runs","Previous_runs","Candidate_runs"
"morrowind_snapshot","opengl","none","FPS / cadence","fps","33.864","33.495","33.452","-1.216%","-0.129%","-1.089%","1","1","1"
"morrowind_snapshot","opengl","none","Mean interval","ms","29.530","29.855","29.894","-1.231%","-0.129%","-1.101%","1","1","1"
"morrowind_snapshot","opengl","none","p95 interval","ms","36.467","37.165","37.040","-1.571%","+0.336%","-1.914%","1","1","1"
"morrowind_snapshot","opengl","none","p99 interval","ms","41.675","41.660","41.816","-0.338%","-0.374%","+0.036%","1","1","1"
"morrowind_snapshot","opengl","none","Maximum interval","ms","45.859","44.682","47.315","-3.175%","-5.893%","+2.567%","1","1","1"
"morrowind_snapshot","opengl","none","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","1","1","1"
"morrowind_snapshot","vulkan","cold","FPS / cadence","fps","24.448","23.805","24.373","-0.307%","+2.385%","-2.629%","2","2","2"
"morrowind_snapshot","vulkan","cold","Mean interval","ms","40.903","42.008","41.035","-0.321%","+2.317%","-2.700%","2","2","2"
"morrowind_snapshot","vulkan","cold","p95 interval","ms","47.413","48.662","47.759","-0.730%","+1.856%","-2.634%","2","2","2"
"morrowind_snapshot","vulkan","cold","p99 interval","ms","52.773","55.421","53.384","-1.159%","+3.676%","-5.019%","2","2","2"
"morrowind_snapshot","vulkan","cold","Maximum interval","ms","60.681","63.976","60.170","+0.842%","+5.950%","-5.431%","2","2","2"
"morrowind_snapshot","vulkan","cold","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","2","2","2"
"morrowind_snapshot","vulkan","warm","FPS / cadence","fps","24.448","23.805","24.109","-1.387%","+1.275%","-2.629%","2","2","3"
"morrowind_snapshot","vulkan","warm","Mean interval","ms","40.903","42.008","41.479","-1.407%","+1.259%","-2.700%","2","2","3"
"morrowind_snapshot","vulkan","warm","p95 interval","ms","47.413","48.662","48.256","-1.778%","+0.834%","-2.634%","2","2","3"
"morrowind_snapshot","vulkan","warm","p99 interval","ms","52.773","55.421","53.963","-2.256%","+2.631%","-5.019%","2","2","3"
"morrowind_snapshot","vulkan","warm","Maximum interval","ms","60.681","63.976","61.636","-1.575%","+3.658%","-5.431%","2","2","3"
"morrowind_snapshot","vulkan","warm","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","2","2","3"
"pgr2_full_start","opengl","none","FPS / cadence","fps","30.000","30.000","30.000","0.000%","0.000%","0.000%","1","1","1"
"pgr2_full_start","opengl","none","Mean interval","ms","33.333","33.333","33.333","0.000%","0.000%","0.000%","1","1","1"
"pgr2_full_start","opengl","none","p95 interval","ms","33.734","33.559","33.610","+0.368%","-0.152%","+0.519%","1","1","1"
"pgr2_full_start","opengl","none","p99 interval","ms","35.413","34.015","33.980","+4.047%","+0.103%","+3.948%","1","1","1"
"pgr2_full_start","opengl","none","Maximum interval","ms","44.535","41.445","34.415","+22.724%","+16.962%","+6.938%","1","1","1"
"pgr2_full_start","opengl","none","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","1","1","1"
"pgr2_full_start","vulkan","cold","FPS / cadence","fps","30.000","30.000","30.000","0.000%","0.000%","0.000%","2","2","2"
"pgr2_full_start","vulkan","cold","Mean interval","ms","33.333","33.333","33.333","0.000%","0.000%","0.000%","2","2","2"
"pgr2_full_start","vulkan","cold","p95 interval","ms","33.482","33.653","33.563","-0.242%","+0.267%","-0.511%","2","2","2"
"pgr2_full_start","vulkan","cold","p99 interval","ms","34.253","33.918","33.814","+1.282%","+0.308%","+0.977%","2","2","2"
"pgr2_full_start","vulkan","cold","Maximum interval","ms","43.054","37.026","36.962","+14.149%","+0.172%","+14.001%","2","2","2"
"pgr2_full_start","vulkan","cold","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","2","2","2"
"pgr2_full_start","vulkan","warm","FPS / cadence","fps","30.000","30.000","30.000","0.000%","0.000%","0.000%","2","2","3"
"pgr2_full_start","vulkan","warm","Mean interval","ms","33.333","33.333","33.333","0.000%","0.000%","0.000%","2","2","3"
"pgr2_full_start","vulkan","warm","p95 interval","ms","33.482","33.653","33.656","-0.520%","-0.009%","-0.511%","2","2","3"
"pgr2_full_start","vulkan","warm","p99 interval","ms","34.253","33.918","34.028","+0.655%","-0.324%","+0.977%","2","2","3"
"pgr2_full_start","vulkan","warm","Maximum interval","ms","43.054","37.026","36.324","+15.631%","+1.895%","+14.001%","2","2","3"
"pgr2_full_start","vulkan","warm","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","2","2","3"
"pgr2_snapshot","opengl","none","FPS / cadence","fps","29.237","29.519","29.184","-0.182%","-1.136%","+0.965%","1","1","1"
"pgr2_snapshot","opengl","none","Mean interval","ms","34.183","33.883","34.268","-0.249%","-1.139%","+0.880%","1","1","1"
"pgr2_snapshot","opengl","none","p95 interval","ms","41.135","40.551","41.610","-1.155%","-2.612%","+1.420%","1","1","1"
"pgr2_snapshot","opengl","none","p99 interval","ms","45.412","45.511","44.703","+1.561%","+1.775%","-0.218%","1","1","1"
"pgr2_snapshot","opengl","none","Maximum interval","ms","53.192","52.888","59.911","-12.632%","-13.279%","+0.572%","1","1","1"
"pgr2_snapshot","opengl","none","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","1","1","1"
"pgr2_snapshot","vulkan","cold","FPS / cadence","fps","29.139","29.499","29.492","+1.211%","-0.025%","+1.236%","2","2","2"
"pgr2_snapshot","vulkan","cold","Mean interval","ms","34.309","33.877","33.897","+1.203%","-0.057%","+1.259%","2","2","2"
"pgr2_snapshot","vulkan","cold","p95 interval","ms","40.795","39.407","39.596","+2.939%","-0.480%","+3.402%","2","2","2"
"pgr2_snapshot","vulkan","cold","p99 interval","ms","44.896","43.836","43.602","+2.883%","+0.535%","+2.361%","2","2","2"
"pgr2_snapshot","vulkan","cold","Maximum interval","ms","65.091","62.439","61.002","+6.282%","+2.302%","+4.074%","2","2","2"
"pgr2_snapshot","vulkan","cold","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","2","2","2"
"pgr2_snapshot","vulkan","warm","FPS / cadence","fps","29.139","29.499","29.408","+0.924%","-0.309%","+1.236%","2","2","3"
"pgr2_snapshot","vulkan","warm","Mean interval","ms","34.309","33.877","33.992","+0.924%","-0.339%","+1.259%","2","2","3"
"pgr2_snapshot","vulkan","warm","p95 interval","ms","40.795","39.407","39.714","+2.649%","-0.780%","+3.402%","2","2","3"
"pgr2_snapshot","vulkan","warm","p99 interval","ms","44.896","43.836","43.144","+3.902%","+1.579%","+2.361%","2","2","3"
"pgr2_snapshot","vulkan","warm","Maximum interval","ms","65.091","62.439","52.959","+18.638%","+15.183%","+4.074%","2","2","3"
"pgr2_snapshot","vulkan","warm","Stalls >= 75 ms","count","0.000","0.000","0.000","n/a","n/a","n/a","2","2","3"
