"Workload","Renderer","Role","Cache","Run","FPS","Average_ms","P95_ms","P99_ms","Maximum_ms","Stalls","Frames","Status"
"pgr2_snapshot","opengl","fixed_baseline","none","01-pgr2_snapshot-baseline-opengl","29.237","34.183","41.135","45.412","53.192","0","1755","passed"
"pgr2_snapshot","opengl","candidate","none","02-pgr2_snapshot-candidate-opengl","29.184","34.268","41.610","44.703","59.911","0","1751","passed"
"pgr2_snapshot","opengl","previous_main","none","03-pgr2_snapshot-previous-opengl","29.519","33.883","40.551","45.511","52.888","0","1771","passed"
"pgr2_snapshot","vulkan","fixed_baseline","none","04-pgr2_snapshot-baseline-vulkan-b1","29.011","34.440","41.242","45.060","71.871","0","1742","passed"
"pgr2_snapshot","vulkan","candidate","cold","05-pgr2_snapshot-candidate-vulkan-cold-r1","29.618","33.764","39.111","43.485","66.151","0","1777","passed"
"pgr2_snapshot","vulkan","candidate","warm","06-pgr2_snapshot-candidate-vulkan-warm-r1","29.408","33.992","39.714","43.050","52.959","0","1765","passed"
"pgr2_snapshot","vulkan","previous_main","none","07-pgr2_snapshot-previous-vulkan-b1","29.460","33.928","39.606","44.372","60.832","0","1769","passed"
"pgr2_snapshot","vulkan","candidate","warm","08-pgr2_snapshot-candidate-vulkan-warm-r1-reload","29.647","33.727","38.595","43.144","49.476","0","1779","passed"
"pgr2_snapshot","vulkan","candidate","cold","09-pgr2_snapshot-candidate-vulkan-cold-r2","29.366","34.029","40.080","43.718","55.852","0","1763","passed"
"pgr2_snapshot","vulkan","candidate","warm","10-pgr2_snapshot-candidate-vulkan-warm-r2","29.338","34.076","40.321","43.164","57.590","0","1761","passed"
"pgr2_snapshot","vulkan","fixed_baseline","none","11-pgr2_snapshot-baseline-vulkan-b2","29.267","34.178","40.347","44.732","58.310","0","1755","passed"
"pgr2_snapshot","vulkan","previous_main","none","12-pgr2_snapshot-previous-vulkan-b2","29.538","33.827","39.207","43.300","64.046","0","1773","passed"
"pgr2_full_start","opengl","fixed_baseline","none","13-pgr2_full_start-baseline-opengl","30.000","33.333","33.734","35.413","44.535","0","3602","passed"
"pgr2_full_start","opengl","candidate","none","14-pgr2_full_start-candidate-opengl","30.000","33.333","33.610","33.980","34.415","0","3602","passed"
"pgr2_full_start","opengl","previous_main","none","15-pgr2_full_start-previous-opengl","30.000","33.333","33.559","34.015","41.445","0","3604","passed"
"pgr2_full_start","vulkan","fixed_baseline","none","16-pgr2_full_start-baseline-vulkan-b1","30.000","33.333","33.562","34.349","48.325","0","3603","passed"
"pgr2_full_start","vulkan","candidate","cold","17-pgr2_full_start-candidate-vulkan-cold-r1","30.000","33.333","33.556","33.846","39.550","0","3602","passed"
"pgr2_full_start","vulkan","candidate","warm","18-pgr2_full_start-candidate-vulkan-warm-r1","30.000","33.333","33.583","34.024","34.447","0","3602","passed"
"pgr2_full_start","vulkan","previous_main","none","19-pgr2_full_start-previous-vulkan-b1","30.000","33.333","33.668","33.775","34.518","0","3603","passed"
"pgr2_full_start","vulkan","candidate","warm","20-pgr2_full_start-candidate-vulkan-warm-r1-reload","30.000","33.333","33.656","34.138","48.923","0","3599","passed"
"pgr2_full_start","vulkan","candidate","cold","21-pgr2_full_start-candidate-vulkan-cold-r2","30.000","33.333","33.570","33.781","34.374","0","3602","passed"
"pgr2_full_start","vulkan","candidate","warm","22-pgr2_full_start-candidate-vulkan-warm-r2","30.000","33.333","33.665","34.028","36.324","0","3601","passed"
"pgr2_full_start","vulkan","fixed_baseline","none","23-pgr2_full_start-baseline-vulkan-b2","30.000","33.333","33.402","34.156","37.782","0","3603","passed"
"pgr2_full_start","vulkan","previous_main","none","24-pgr2_full_start-previous-vulkan-b2","30.000","33.333","33.638","34.061","39.533","0","3605","passed"
"morrowind_snapshot","opengl","fixed_baseline","none","25-morrowind-snapshot-baseline-opengl","33.864","29.530","36.467","41.675","45.859","0","2031","passed"
"morrowind_snapshot","opengl","candidate","none","26-morrowind-snapshot-candidate-opengl","33.452","29.894","37.040","41.816","47.315","0","2006","passed"
"morrowind_snapshot","opengl","previous_main","none","27-morrowind-snapshot-previous-opengl","33.495","29.855","37.165","41.660","44.682","0","2009","passed"
"morrowind_snapshot","vulkan","fixed_baseline","none","28-morrowind-snapshot-baseline-vulkan-b1","24.418","40.953","47.208","52.009","61.703","0","1464","passed"
"morrowind_snapshot","vulkan","candidate","cold","29-morrowind-snapshot-candidate-vulkan-cold-r1","24.092","41.508","48.296","53.915","60.404","0","1445","passed"
"morrowind_snapshot","vulkan","candidate","warm","30-morrowind-snapshot-candidate-vulkan-warm-r1","24.109","41.479","48.256","53.963","61.636","0","1446","passed"
"morrowind_snapshot","vulkan","previous_main","none","31-morrowind-snapshot-previous-vulkan-b1","23.789","42.036","48.646","54.933","63.265","0","1426","passed"
"morrowind_snapshot","vulkan","candidate","warm","32-morrowind-snapshot-candidate-vulkan-warm-r1-reload","23.658","42.270","49.066","54.906","64.712","0","1419","passed"
"morrowind_snapshot","vulkan","candidate","cold","33-morrowind-snapshot-candidate-vulkan-cold-r2","24.654","40.561","47.222","52.853","59.935","0","1478","passed"
"morrowind_snapshot","vulkan","candidate","warm","34-morrowind-snapshot-candidate-vulkan-warm-r2","24.593","40.662","47.218","52.334","58.250","0","1475","passed"
"morrowind_snapshot","vulkan","fixed_baseline","none","35-morrowind-snapshot-baseline-vulkan-b2","24.478","40.853","47.618","53.536","59.658","0","1468","passed"
"morrowind_snapshot","vulkan","previous_main","none","36-morrowind-snapshot-previous-vulkan-b2","23.821","41.980","48.678","55.909","64.687","0","1429","passed"
