candidate_run,metric,direction,historical_reference,candidate,improvement_percent_positive_good,reference_run_ids,qualification
01-candidate-opengl,fps,+good,33.71695270333051,33.618726934315625,-0.29132457455203487,"pr14-primary-morrowind-snapshot-opengl-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
01-candidate-opengl,frame_average_ms,+bad,29.66608979982005,29.745326227069953,-0.2670942742524278,"pr14-primary-morrowind-snapshot-opengl-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
01-candidate-opengl,p95_ms,+bad,36.3615,36.461,-0.2736410764132366,"pr14-primary-morrowind-snapshot-opengl-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
01-candidate-opengl,p99_ms,+bad,42.009,41.635,0.8902854150301182,"pr14-primary-morrowind-snapshot-opengl-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
01-candidate-opengl,max_ms,+bad,46.74,47.183,-0.9477963200684592,"pr14-primary-morrowind-snapshot-opengl-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
01-candidate-opengl,stalls,+bad,0,0,,"pr14-primary-morrowind-snapshot-opengl-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
02-candidate-vulkan-cold,fps,+good,24.41643393080743,24.35256414736444,-0.26158522421409547,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
02-candidate-vulkan-cold,frame_average_ms,+bad,40.95603621621166,41.06343767123289,-0.2622359606633997,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
02-candidate-vulkan-cold,p95_ms,+bad,47.6875,47.94,-0.5294888597640843,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
02-candidate-vulkan-cold,p99_ms,+bad,53.3565,54.05,-1.2997479219963832,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
02-candidate-vulkan-cold,max_ms,+bad,60.4565,61.224,-1.2695078279424021,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
02-candidate-vulkan-cold,stalls,+bad,0,0,,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
03-candidate-vulkan-warm,fps,+good,24.41643393080743,24.16842532241596,-1.0157445968329732,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
03-candidate-vulkan-warm,frame_average_ms,+bad,40.95603621621166,41.37629931034482,-1.0261322455975586,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
03-candidate-vulkan-warm,p95_ms,+bad,47.6875,47.762,-0.15622542595019753,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
03-candidate-vulkan-warm,p99_ms,+bad,53.3565,53.696,-0.6362861132195722,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
03-candidate-vulkan-warm,max_ms,+bad,60.4565,61.169,-1.1785333256142823,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
03-candidate-vulkan-warm,stalls,+bad,0,0,,"pr14-primary-morrowind-snapshot-vulkan-r1 previous-main ordinals 1,4",context only: reference measured 20 seconds; candidate measured 60 seconds
