scope,metric,direction,reference,candidate,improvement_percent_positive_good,within_2_percent,reference_identity,qualification
PGR2 FreshBoot Vulkan cold two-run median,fps,+good,30.00000045431925,29.92766617811305,-0.2411142503692349,True,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan cold two-run median,frame_average_ms,+bad,33.33333934517207,33.40769852438241,-0.22307749739784236,True,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan cold two-run median,p95_ms,+bad,33.430499999999995,34.2435,-2.43191097949478,False,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan cold two-run median,p99_ms,+bad,34.211,38.122,-11.431995556984601,False,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan cold two-run median,max_ms,+bad,36.347,42.575500000000005,-17.13621481827937,False,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan cold two-run median,stalls,+bad,0,0,,,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan warm two-run median,fps,+good,30.00000045431925,29.86387064540701,-0.4537660228356359,True,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan warm two-run median,frame_average_ms,+bad,33.33333934517207,33.47331527637747,-0.41992771788006467,True,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan warm two-run median,p95_ms,+bad,33.430499999999995,35.3805,-5.832996814286365,False,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan warm two-run median,p99_ms,+bad,34.211,39.083,-14.241033585688815,False,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan warm two-run median,max_ms,+bad,36.347,43.16,-18.74432552892947,False,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan warm two-run median,stalls,+bad,0,0,,,same-session previous-main B3/B4,qualification
PGR2 FreshBoot Vulkan cold two-run median,fps,+good,29.99998168078507,29.92766617811305,-0.2410518227694025,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot Vulkan cold two-run median,frame_average_ms,+bad,33.333300943919966,33.40769852438241,-0.22319295826000604,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot Vulkan cold two-run median,p95_ms,+bad,33.412,34.2435,-2.488626840656047,False,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot Vulkan cold two-run median,p99_ms,+bad,34.497,38.122,-10.508160129866365,False,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot Vulkan cold two-run median,stalls,+bad,0,0,,,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot Vulkan warm two-run median,fps,+good,29.99998168078507,29.86387064540701,-0.453703728310062,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot Vulkan warm two-run median,frame_average_ms,+bad,33.333300943919966,33.47331527637747,-0.420043405521297,True,reused fixed baseline,historical fixed-baseline comparison
