campaign,run,samples,coverage_seconds,gpu_util_average_pct,gpu_util_peak_pct,vram_used_average_mib,vram_used_peak_mib,power_average_w,power_peak_w,measurement_alignment
runs,01-candidate-full-opengl,66,32.772,38.166666666666664,42,522.0454545454545,525,23.44727272727272,24.41,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,02-candidate-full-vulkan-cold,66,32.964,36.015151515151516,50,882.0454545454545,885,20.998636363636365,25.27,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,03-candidate-full-vulkan-warm,66,32.976,34.81818181818182,42,882.0454545454545,885,20.560757575757574,23.14,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,04-previous-snapshot-vulkan-b1,66,32.937999999999995,32.25757575757576,50,815.0454545454545,818,23.27848484848485,23.88,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,05-candidate-snapshot-vulkan-cold,66,33.089,31.348484848484848,47,815.0454545454545,818,23.45454545454545,25.14,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,06-candidate-snapshot-vulkan-warm,66,32.924,32,47,817.030303030303,819,23.517272727272733,24.84,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,07-previous-snapshot-vulkan-b2,66,32.997,31.772727272727273,48,815.0454545454545,818,23.69818181818181,26.2,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,08-candidate-snapshot-opengl,65,32.431999999999995,38.723076923076924,44,517.0461538461539,519,29.704923076923077,31.92,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,01-previous-full-vulkan-b3,66,33.006,36.18181818181818,43,882.0454545454545,885,20.15712121212121,23.04,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,01-candidate-full-vulkan-cold2,66,32.907,35.984848484848484,55,882.0454545454545,885,20.76742424242424,23.47,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,02-candidate-full-vulkan-warm2,66,32.881,33.42424242424242,45,882.0454545454545,885,20.544696969696975,23.38,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
runs,03-previous-full-vulkan-b4,66,32.981,34.303030303030305,46,882.0454545454545,885,21.365000000000006,25.76,Sampler spans ~33 seconds around the cell and is not an exact-window resource qualification.
