campaign,run,role,renderer,launch_mode,cache_phase,fps,average_ms,p95_ms,p99_ms,max_ms,stalls,guest_frames,cache_hits,cache_misses,cache_records,cache_loaded_bytes,cache_queued_bytes,cache_write,normal_close,hdd_deleted
automated-pgr2,01-candidate-full-opengl,candidate,OPENGL,FreshBoot,n/a,29.999998369565304,33.33334128745845,33.381,34.316,36.763,0,1802,,,,,,,True,True
automated-pgr2,02-candidate-full-vulkan-cold,candidate,VULKAN,FreshBoot,cold,29.85533253716699,33.48205354155055,34.835,41.903,50.088,0,1793,144,196,196,0,4833466,published,True,True
automated-pgr2,03-candidate-full-vulkan-warm,candidate,VULKAN,FreshBoot,warm,30.00023707239784,33.33334163898117,33.403,34.257,35.691,0,1806,338,0,196,4839817,0,clean,True,True
automated-pgr2,04-previous-snapshot-vulkan-b1,previous_main,VULKAN,Snapshot,n/a,28.812515620738846,34.738064273306314,41.764,46.027,73.29,0,1727,,,,,,,True,True
automated-pgr2,05-candidate-snapshot-vulkan-cold,candidate,VULKAN,Snapshot,cold,28.888665867504024,34.58821416234892,41.358,45.182,69.208,0,1737,20,121,121,0,3038601,published,True,True
automated-pgr2,06-candidate-snapshot-vulkan-warm,candidate,VULKAN,Snapshot,warm,28.90364785056709,34.591492219020225,41.361,47.149,58.829,0,1735,141,0,121,3042552,0,clean,True,True
automated-pgr2,07-previous-snapshot-vulkan-b2,previous_main,VULKAN,Snapshot,n/a,28.99649281982502,34.51677157652474,41.572,46.479,63.754,0,1738,,,,,,,True,True
automated-pgr2,08-candidate-snapshot-opengl,candidate,OPENGL,Snapshot,n/a,28.481219333689026,35.11683557636035,42.686,46.169,60.825,0,1709,,,,,,,True,True
automated-pgr2,01-previous-full-vulkan-b3,previous_main,VULKAN,FreshBoot,n/a,30.00000326086992,33.33333018867921,33.425,34.248,34.368,0,1802,,,,,,,True,True
automated-pgr2,01-candidate-full-vulkan-cold2,candidate,VULKAN,FreshBoot,cold,29.99999981905911,33.333343507214266,33.652,34.341,35.063,0,1802,144,196,196,0,4833466,published,True,True
automated-pgr2,02-candidate-full-vulkan-warm2,candidate,VULKAN,FreshBoot,warm,29.72750421841618,33.61328891377377,37.358,43.909,50.629,0,1786,341,0,196,4839817,0,clean,True,True
automated-pgr2,03-previous-full-vulkan-b4,previous_main,VULKAN,FreshBoot,n/a,29.99999764776858,33.33334850166493,33.436,34.174,38.326,0,1802,,,,,,,True,True
