candidate_run,metric,direction,previous_main_b1,candidate,improvement_percent_positive_good,qualification
02-candidate-manual-race-cold,fps,+good,29.15549919287398,29.462738046250102,1.0537938360911927,exploratory only: user-driven route differs
02-candidate-manual-race-cold,average_ms,+bad,34.26227189728961,33.9443616058808,0.9278727702641244,exploratory only: user-driven route differs
02-candidate-manual-race-cold,p95_ms,+bad,41.817,39.741,4.9644881268383685,exploratory only: user-driven route differs
02-candidate-manual-race-cold,p99_ms,+bad,49.569,46.01,7.179890657467378,exploratory only: user-driven route differs
02-candidate-manual-race-cold,max_ms,+bad,182.864,74.022,59.52073672237292,exploratory only: user-driven route differs
02-candidate-manual-race-cold,stalls,+bad,1,0,100.0,exploratory only: user-driven route differs
03-candidate-manual-race-warm,fps,+good,29.15549919287398,29.600075153324966,1.5248442755514453,exploratory only: user-driven route differs
03-candidate-manual-race-warm,average_ms,+bad,34.26227189728961,33.77582250351627,1.4197814880215898,exploratory only: user-driven route differs
03-candidate-manual-race-warm,p95_ms,+bad,41.817,37.773,9.670708085228489,exploratory only: user-driven route differs
03-candidate-manual-race-warm,p99_ms,+bad,49.569,46.694,5.799995965220198,exploratory only: user-driven route differs
03-candidate-manual-race-warm,max_ms,+bad,182.864,76.365,58.239456645375796,exploratory only: user-driven route differs
03-candidate-manual-race-warm,stalls,+bad,1,1,0.0,exploratory only: user-driven route differs
