"Workload","Run","Cache","File","Before_SHA256","After_SHA256","Hits","Misses","Rejections","Fallbacks","Write"
"pgr2_snapshot","05-pgr2_snapshot-candidate-vulkan-off-cold-r1","cold","spirv-v1-vk13-spv16.bin","none","fc1072f239780a295d82af49623667b19fcfd70f097db6b2331f32222b286be5","20","121","0","0","published"
"pgr2_snapshot","06-pgr2_snapshot-candidate-vulkan-off-warm-r1","warm","spirv-v1-vk13-spv16.bin","fc1072f239780a295d82af49623667b19fcfd70f097db6b2331f32222b286be5","d64a6ed1f96306f0e06a6f630ba04be8842e769afe400a8a7ea11ddb94c3b901","141","0","0","0","published"
"pgr2_snapshot","08-pgr2_snapshot-candidate-vulkan-off-cold-r2","cold","spirv-v1-vk13-spv16.bin","none","c2d4ad2a367d4e015926fce758be1e20e095d4db29b3a7d0ba65c4955ac89710","20","120","0","0","published"
"pgr2_snapshot","09-pgr2_snapshot-candidate-vulkan-on-cold-r1","cold","spirv-v1-vk13-spv16.bin","none","780981e9226c41b4da2fda911e0370c19e4b873dfd5119603ccab8405b4232e9","23","152","0","0","published"
"pgr2_snapshot","10-pgr2_snapshot-candidate-vulkan-on-warm-r1","warm","spirv-v1-vk13-spv16.bin","780981e9226c41b4da2fda911e0370c19e4b873dfd5119603ccab8405b4232e9","d1ca0230a52ca38d92286a3e641f84770230fd7df4be32da60fc4fd9f0bdcd4a","183","0","0","0","published"
"pgr2_snapshot","11-pgr2_snapshot-candidate-vulkan-on-cold-r2","cold","spirv-v1-vk13-spv16.bin","none","840f3d7721ed27d83252e3bdd5923aaecbab6f04d8c2d743b2b1c8680d8997e5","23","152","0","0","published"
"pgr2_full_start","17-pgr2_full_start-candidate-vulkan-off-cold-r1","cold","spirv-v1-vk13-spv16.bin","none","33ef3b1ce17a8e516ce99f9db71677af310aabb1af77d04b8c329abeee8dfefa","143","198","0","0","published"
"pgr2_full_start","18-pgr2_full_start-candidate-vulkan-off-warm-r1","warm","spirv-v1-vk13-spv16.bin","33ef3b1ce17a8e516ce99f9db71677af310aabb1af77d04b8c329abeee8dfefa","cea4b5c06158bf4751ad3e923d4cf88339044c179be0b355fe0e19c779267968","341","0","0","0","published"
"pgr2_full_start","20-pgr2_full_start-candidate-vulkan-off-cold-r2","cold","spirv-v1-vk13-spv16.bin","none","cea4b5c06158bf4751ad3e923d4cf88339044c179be0b355fe0e19c779267968","143","198","0","0","published"
"pgr2_full_start","21-pgr2_full_start-candidate-vulkan-on-cold-r1","cold","spirv-v1-vk13-spv16.bin","none","6349128891905e7d1e44e2e6e6d4b682f6708bd7884d0fea43c41e785c146111","169","234","0","0","published"
"pgr2_full_start","22-pgr2_full_start-candidate-vulkan-on-warm-r1","warm","spirv-v1-vk13-spv16.bin","6349128891905e7d1e44e2e6e6d4b682f6708bd7884d0fea43c41e785c146111","e199cb83e70b394ca2265363549577ba97e233c8050863731eef4628facc7823","414","4","0","0","published"
"pgr2_full_start","23-pgr2_full_start-candidate-vulkan-on-cold-r2","cold","spirv-v1-vk13-spv16.bin","none","6699b3e08e5440059943c18f361d4f131eed5f4137e84cc71451944c0364058b","171","238","0","0","published"
"morrowind_snapshot","29-morrowind-snapshot-candidate-vulkan-off-cold-r1","cold","spirv-v1-vk13-spv16.bin","none","304484a4c509d5bc5a2651fa472b4353709b030532f1d7e4fee1752f1a4c66b4","1","48","0","0","published"
"morrowind_snapshot","30-morrowind-snapshot-candidate-vulkan-off-warm-r1","warm","spirv-v1-vk13-spv16.bin","304484a4c509d5bc5a2651fa472b4353709b030532f1d7e4fee1752f1a4c66b4","304484a4c509d5bc5a2651fa472b4353709b030532f1d7e4fee1752f1a4c66b4","49","0","0","0","published"
"morrowind_snapshot","32-morrowind-snapshot-candidate-vulkan-off-cold-r2","cold","spirv-v1-vk13-spv16.bin","none","304484a4c509d5bc5a2651fa472b4353709b030532f1d7e4fee1752f1a4c66b4","1","48","0","0","published"
"morrowind_snapshot","33-morrowind-snapshot-candidate-vulkan-on-cold-r1","cold","spirv-v1-vk13-spv16.bin","none","be4516d87b771d603090a6906ba05d5d568edcd0991dd15f6e3f0350f652fba0","1","51","0","0","published"
"morrowind_snapshot","34-morrowind-snapshot-candidate-vulkan-on-warm-r1","warm","spirv-v1-vk13-spv16.bin","be4516d87b771d603090a6906ba05d5d568edcd0991dd15f6e3f0350f652fba0","6f4c6db9b3b0e1b1b3bba886496ea5de8a5c31742afa23a75e2afcb4f6e31809","54","0","0","0","published"
"morrowind_snapshot","35-morrowind-snapshot-candidate-vulkan-on-cold-r2","cold","spirv-v1-vk13-spv16.bin","none","be4516d87b771d603090a6906ba05d5d568edcd0991dd15f6e3f0350f652fba0","1","51","0","0","published"
