"Workload","Renderer","Role","Hybrid","Cache","Run","FPS","Average_ms","P95_ms","P99_ms","Maximum_ms","Stalls","Frames","Status"
"pgr2_snapshot","opengl","fixed_baseline","Off","none","01-pgr2_snapshot-baseline-opengl","28.560","35.016","42.995","48.076","60.681","0","1714","passed"
"pgr2_snapshot","opengl","candidate","Off","none","02-pgr2_snapshot-candidate-opengl","29.057","34.372","41.448","45.813","61.050","0","1746","passed"
"pgr2_snapshot","opengl","previous_main","Off","none","03-pgr2_snapshot-previous-opengl","29.483","33.919","40.402","43.538","60.330","0","1769","passed"
"pgr2_snapshot","vulkan","fixed_baseline","Off","none","04-pgr2_snapshot-baseline-vulkan-b1","29.226","34.204","40.529","46.183","65.577","0","1753","passed"
"pgr2_snapshot","vulkan","candidate","Off","cold","05-pgr2_snapshot-candidate-vulkan-off-cold-r1","29.418","34.010","39.840","44.360","56.887","0","1764","passed"
"pgr2_snapshot","vulkan","candidate","Off","warm","06-pgr2_snapshot-candidate-vulkan-off-warm-r1","29.140","34.302","40.730","44.451","62.279","0","1749","passed"
"pgr2_snapshot","vulkan","previous_main","Off","none","07-pgr2_snapshot-previous-vulkan-b1","29.231","34.222","40.682","45.110","65.240","0","1753","passed"
"pgr2_snapshot","vulkan","candidate","Off","cold","08-pgr2_snapshot-candidate-vulkan-off-cold-r2","29.484","33.887","39.444","44.396","61.103","0","1770","passed"
"pgr2_snapshot","vulkan","candidate","On","cold","09-pgr2_snapshot-candidate-vulkan-on-cold-r1","28.679","34.877","41.213","49.004","667.100","4","1720","passed"
"pgr2_snapshot","vulkan","candidate","On","warm","10-pgr2_snapshot-candidate-vulkan-on-warm-r1","29.192","34.257","41.261","45.249","58.213","0","1752","passed"
"pgr2_snapshot","vulkan","candidate","On","cold","11-pgr2_snapshot-candidate-vulkan-on-cold-r2","28.992","34.500","41.015","46.022","76.099","1","1739","passed"
"pgr2_snapshot","vulkan","fixed_baseline","Off","none","12-pgr2_snapshot-baseline-vulkan-b2","28.024","35.766","43.356","48.828","74.633","0","1678","passed"
"pgr2_snapshot","vulkan","previous_main","Off","none","13-pgr2_snapshot-previous-vulkan-b2","29.301","34.087","40.462","43.658","61.602","0","1760","passed"
"pgr2_full_start","opengl","fixed_baseline","Off","none","13-pgr2_full_start-baseline-opengl","29.996","33.337","33.479","35.038","41.215","0","3600","passed"
"pgr2_full_start","opengl","candidate","Off","none","14-pgr2_full_start-candidate-opengl","30.000","33.333","33.697","35.044","48.586","0","3602","passed"
"pgr2_full_start","opengl","previous_main","Off","none","15-pgr2_full_start-previous-opengl","30.000","33.333","33.686","33.992","42.349","0","3603","passed"
