renderer,test_id,kind,outcome,framebuffer_fnv1a64,guest_total_us_diagnostic_only,performance_qualified
opengl,busy_pfifo.pfifo_saturation,leaf,PASS,1508607624bb8506,1105678,false
opengl,busy_pfifo.pgraph_pattern_polling,leaf,PASS,386d0f085e98c325,4350969,false
opengl,cpu_floating_point.sse_scalar,leaf,PASS,6962077c244da325,4968294,false
opengl,cpu_floating_point.x87_scalar,leaf,PASS,6962077c244da325,7915330,false
opengl,cpu_translation_blocks.direct_loop,leaf,PASS,bd1fc9bf0c318325,98321,false
opengl,cpu_translation_blocks.indirect_dispatch,leaf,PASS,c0426cf669a02325,394365,false
opengl,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,fbd507cb0c622325,7808339,false
opengl,fill_rate.solid,leaf,PASS,08b0f60773aac775,17339,false
opengl,fill_rate.textured,leaf,PASS,99b433323df1684d,18384,false
opengl,game_load.long_unlocked_scene.cpu,leaf,PASS,4efd9244c4ad2325,190960,false
opengl,game_load.long_unlocked_scene.pfifo,leaf,PASS,4efd9244c4ad2325,39224,false
opengl,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,4efd9244c4ad2325,260553,false
opengl,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,4efd9244c4ad2325,71784,false
opengl,game_load.long_unlocked_scene.combined,leaf,PASS,4efd9244c4ad2325,558735,false
opengl,game_load.long_unlocked_scene.full_system,leaf,PASS,4efd9244c4ad2325,564332,false
opengl,game_load.long_unlocked_scene,group,PASS,4efd9244c4ad2325,0,false
opengl,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,ea21c900993ea325,413009,false
opengl,game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,151015a16ca46325,834744,false
opengl,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,44fcd2c900a5a325,23283,false
opengl,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,37f87c4938cd6325,47907,false
opengl,game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,4f8b2eab497ca325,522582,false
opengl,game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,58e80f99c5a56325,801799,false
opengl,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,6b9bae4b9c97a325,1071912,false
opengl,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,2b9db92162606325,674576,false
opengl,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,32a69ec6dce52325,1811406,false
opengl,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,1a65246e1a0ea325,15886288,false
opengl,game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,e30500792076e325,18073,false
opengl,game_load.cross_title_hotpath,group,PASS,e30500792076e325,0,false
opengl,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,3403675459d4d3d5,141478,false
opengl,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,75c2c901cfa2f7db,132440,false
opengl,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,3403675459d4d3d5,125188,false
opengl,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,428c04bbb0a62725,123835,false
opengl,game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,3403675459d4d3d5,399652,false
opengl,game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,4f576cead75ee55a,385906,false
opengl,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,3403675459d4d3d5,391750,false
opengl,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,428c04bbb0a62725,131679,false
opengl,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,3403675459d4d3d5,128583,false
opengl,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,3403675459d4d3d5,401291,false
opengl,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,3403675459d4d3d5,132024,false
opengl,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,3403675459d4d3d5,398040,false
opengl,game_load.s3tc_sync_factor,group,PASS,3403675459d4d3d5,0,false
opengl,game_load.repeated_display,leaf,PASS,e758dbbf4edc2325,132862,false
opengl,game_load.repeated_display_boosted,leaf,PASS,60315b1c33b6a325,400256,false
opengl,game_load.doax_menu_representative.cpu_only,leaf,PASS,c9ffff20249e2325,108342,false
opengl,game_load.doax_menu_representative.pfifo_only,leaf,PASS,db52eb2ea2ee6325,20536,false
opengl,game_load.doax_menu_representative.gpu_only,leaf,PASS,fbd6d6be7f982325,132866,false
opengl,game_load.doax_menu_representative.streaming_only,leaf,PASS,f94303d175056325,36863,false
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,04157941d1aa6325,258625,false
opengl,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,e6d7900d809f6325,286591,false
opengl,game_load.doax_menu_representative.full_system,leaf,PASS,3ebb8ee340a52325,291573,false
opengl,game_load.doax_menu_stress.cpu_only,leaf,PASS,312802588e58a325,216202,false
opengl,game_load.doax_menu_stress.pfifo_only,leaf,PASS,6251472ce3a6e325,38193,false
opengl,game_load.doax_menu_stress.gpu_only,leaf,PASS,30126b41ecb96325,264522,false
opengl,game_load.doax_menu_stress.streaming_only,leaf,PASS,5b922e3ee1312325,68812,false
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,c94959246d55a325,517505,false
opengl,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,5dbf320b91a86325,559416,false
opengl,game_load.doax_menu_stress.full_system,leaf,PASS,545f7965debce325,570706,false
opengl,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,e086b0a920c42325,338767,false
opengl,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,5bc1b07714da2325,124493,false
opengl,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,f8348ac6eeaaa325,686099,false
opengl,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,f43007e31b972325,28170,false
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,48c0585f003ea325,1136896,false
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,e0430415b6dbe325,1155616,false
opengl,game_load.pgr2_ai_backup.full_system,leaf,PASS,cb91c33db5046325,1172811,false
opengl,high_vertex_count.arrays,leaf,PASS,a27c67890c2d9083,21716,false
opengl,high_vertex_count.inline_arrays,leaf,PASS,a27c67890c2d9083,465437,false
