gpu,test_id,kind,outcome,iterations,sample_count,guest_average_us,guest_median_us,framebuffer_fnv1a64
nvidia,busy_pfifo.pfifo_saturation,leaf,PASS,10,10,107611,107420.0,1508607624bb8506
nvidia,busy_pfifo.pgraph_pattern_polling,leaf,PASS,1,1,4494881,4494881,386d0f085e98c325
nvidia,cpu_floating_point.sse_scalar,leaf,PASS,10,10,498554,497940.5,6962077c244da325
nvidia,cpu_floating_point.x87_scalar,leaf,PASS,10,10,783550,783744.0,6962077c244da325
nvidia,cpu_translation_blocks.direct_loop,leaf,PASS,10,10,9767,9734.0,bd1fc9bf0c318325
nvidia,cpu_translation_blocks.indirect_dispatch,leaf,PASS,10,10,39505,39554.0,c0426cf669a02325
nvidia,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,10,10,790576,790412.0,fbd507cb0c622325
nvidia,fill_rate.solid,leaf,PASS,10,10,1907,1157.5,08b0f60773aac775
nvidia,fill_rate.textured,leaf,PASS,10,10,2053,1219.5,99b433323df1684d
nvidia,game_load.long_unlocked_scene.cpu,leaf,PASS,8,8,24073,23988.0,4efd9244c4ad2325
nvidia,game_load.long_unlocked_scene.pfifo,leaf,PASS,8,8,4917,4855.0,4efd9244c4ad2325
nvidia,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,8,8,33461,33379.5,4efd9244c4ad2325
nvidia,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,8,8,11965,11311.5,4efd9244c4ad2325
nvidia,game_load.long_unlocked_scene.combined,leaf,PASS,8,8,73210,73267.5,4efd9244c4ad2325
nvidia,game_load.long_unlocked_scene.full_system,leaf,PASS,8,8,73937,73870.0,4efd9244c4ad2325
nvidia,game_load.long_unlocked_scene,group,PASS,0,0,0,,4efd9244c4ad2325
nvidia,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,8,8,84783,83184.5,ea21c900993ea325
nvidia,game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,8,8,103037,102618.5,151015a16ca46325
nvidia,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,8,8,2978,2927.0,44fcd2c900a5a325
nvidia,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,8,8,9229,8884.0,37f87c4938cd6325
nvidia,game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,8,8,66013,66505.5,4f8b2eab497ca325
nvidia,game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,8,8,167163,167110.0,58e80f99c5a56325
nvidia,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,8,8,216979,216818.0,6b9bae4b9c97a325
nvidia,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,8,8,125703,126491.5,2b9db92162606325
nvidia,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,8,8,651852,656602.0,32a69ec6dce52325
nvidia,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,8,8,1346386,1338426.5,1a65246e1a0ea325
