workload,gpu,phase_label,metric,raw_plus,unit,baseline_reference,previous_main_reference,candidate,improvement_vs_baseline,improvement_vs_previous_main
pgr2_snapshot,amd,cold,fps,+good,fps,,29.49869953549889,25.054373956813418,,-15.066174606569172
pgr2_snapshot,amd,cold,mean,+bad,ms,,33.88702032749856,39.86088180610884,,-17.628759982070854
pgr2_snapshot,amd,cold,p95,+bad,ms,,39.785,47.557,,-19.535000628377542
pgr2_snapshot,amd,cold,p99,+bad,ms,,42.865,60.362,,-40.818849877522446
pgr2_snapshot,amd,cold,max,+bad,ms,,48.526,343.26,,-607.3733668548819
pgr2_snapshot,amd,warm,fps,+good,fps,,29.535533900228458,25.390410154367537,,-14.034361998883183
pgr2_snapshot,amd,warm,mean,+bad,ms,,33.8687996613996,39.39074212598425,,-16.30392136653731
pgr2_snapshot,amd,warm,p95,+bad,ms,,39.503,48.22,,-22.06667848011543
pgr2_snapshot,amd,warm,p99,+bad,ms,,43.917,56.18,,-27.923127718195673
pgr2_snapshot,amd,warm,max,+bad,ms,,57.787,61.653,,-6.69008600550296
pgr2_snapshot,nvidia,cold,fps,+good,fps,29.139,29.492,29.49869953549889,1.2344264919828873,0.022716450220028328
pgr2_snapshot,nvidia,cold,mean,+bad,ms,34.309,33.897,33.88702032749856,1.2299387114210192,0.029441167364185894
pgr2_snapshot,nvidia,cold,p95,+bad,ms,40.795,39.596,39.785,2.475793602157139,-0.47732094150925164
pgr2_snapshot,nvidia,cold,p99,+bad,ms,44.896,43.602,42.865,4.523788310762644,1.6902894362643806
pgr2_snapshot,nvidia,cold,max,+bad,ms,65.091,61.002,48.526,25.448986803091046,20.451788465951935
pgr2_snapshot,nvidia,warm,fps,+good,fps,29.139,29.408,29.535533900228458,1.3608356506004338,0.43367077063538595
pgr2_snapshot,nvidia,warm,mean,+bad,ms,34.309,33.992,33.8687996613996,1.2830462520050046,0.3624392168757318
pgr2_snapshot,nvidia,warm,p95,+bad,ms,40.795,39.714,39.503,3.167054786125756,0.5312987863221985
pgr2_snapshot,nvidia,warm,p99,+bad,ms,44.896,43.144,43.917,2.180595153243048,-1.791674392731335
pgr2_snapshot,nvidia,warm,max,+bad,ms,65.091,52.959,57.787,11.221213378193596,-9.11648633848825
