workload,gpu,phase_label,metric,raw_plus,unit,baseline_reference,previous_main_reference,candidate,improvement_vs_baseline,improvement_vs_previous_main
morrowind_snapshot,amd,cold,fps,+good,fps,,24.167438417981135,27.717229029564777,,14.68831967289721
morrowind_snapshot,amd,cold,mean,+bad,ms,,41.37798895790197,36.078642599277934,,12.807162677759909
morrowind_snapshot,amd,cold,p95,+bad,ms,,47.612,42.167,,11.436192556498359
morrowind_snapshot,amd,cold,p99,+bad,ms,,52.781,47.237,,10.503779769235134
morrowind_snapshot,amd,cold,max,+bad,ms,,63.712,177.533,,-178.64923405323955
morrowind_snapshot,nvidia,cold,fps,+good,fps,24.448,24.373,24.167438417981135,-1.1475850049855407,-0.843398769207182
morrowind_snapshot,nvidia,cold,mean,+bad,ms,40.903,41.035,41.37798895790197,-1.161257017582984,-0.8358449077664698
morrowind_snapshot,nvidia,cold,p95,+bad,ms,47.413,47.759,47.612,-0.41971611161497613,0.3077953893506957
morrowind_snapshot,nvidia,cold,p99,+bad,ms,52.773,53.384,52.781,-0.01515926704942494,1.1295519256706132
morrowind_snapshot,nvidia,cold,max,+bad,ms,60.681,60.17,63.712,-4.994973715001416,-5.886654478976228
pgr2_full_start,amd,cold,fps,+good,fps,,30.000002599653605,30.00009584446205,,0.00031081600120330677
pgr2_full_start,amd,cold,mean,+bad,ms,,33.33332546514869,33.33332565241555,,-5.618007170582473e-07
pgr2_full_start,amd,cold,p95,+bad,ms,,33.532,33.599,,-0.1998091375402522
pgr2_full_start,amd,cold,p99,+bad,ms,,33.764,34.009,,-0.725624925956625
pgr2_full_start,amd,cold,max,+bad,ms,,34.852,43.097,,-23.65717892803858
pgr2_full_start,amd,warm,fps,+good,fps,,29.999908605533992,29.9870076222348,,-0.04300340867309238
pgr2_full_start,amd,warm,mean,+bad,ms,,33.33332796445438,33.34738076709305,,-0.04215841470631698
pgr2_full_start,amd,warm,p95,+bad,ms,,33.577,33.558,,0.05658635375405119
pgr2_full_start,amd,warm,p99,+bad,ms,,33.818,33.995,,-0.5233899106984463
pgr2_full_start,amd,warm,max,+bad,ms,,45.161,70.891,,-56.97393768959944
pgr2_full_start,nvidia,cold,fps,+good,fps,30.0,30.0,30.000002599653605,8.665512019057076e-06,8.665512019057076e-06
pgr2_full_start,nvidia,cold,mean,+bad,ms,33.333,33.333,33.33332546514869,-0.0009764052101290943,-0.0009764052101290943
pgr2_full_start,nvidia,cold,p95,+bad,ms,33.482,33.563,33.532,-0.14933397049159414,0.09236361469476817
pgr2_full_start,nvidia,cold,p99,+bad,ms,34.253,33.814,33.764,1.427612179955029,0.1478677470869938
pgr2_full_start,nvidia,cold,max,+bad,ms,43.054,36.962,34.852,19.05049472755146,5.70856555381204
pgr2_full_start,nvidia,warm,fps,+good,fps,30.0,30.0,29.999908605533992,-0.0003046482200286249,-0.0003046482200286249
pgr2_full_start,nvidia,warm,mean,+bad,ms,33.333,33.333,33.33332796445438,-0.0009839032021563554,-0.0009839032021563554
pgr2_full_start,nvidia,warm,p95,+bad,ms,33.482,33.656,33.577,-0.2837345439340444,0.23472783456144342
pgr2_full_start,nvidia,warm,p99,+bad,ms,34.253,34.028,33.818,1.269961755174731,0.6171388268484845
pgr2_full_start,nvidia,warm,max,+bad,ms,43.054,36.324,45.161,-4.893854229572159,-24.328267811914994
pgr2_snapshot,amd,cold,fps,+good,fps,,29.49869953549889,25.054373956813418,,-15.066174606569172
pgr2_snapshot,amd,cold,mean,+bad,ms,,33.88702032749856,39.86088180610884,,-17.628759982070854
pgr2_snapshot,amd,cold,p95,+bad,ms,,39.785,47.557,,-19.535000628377542
pgr2_snapshot,amd,cold,p99,+bad,ms,,42.865,60.362,,-40.818849877522446
pgr2_snapshot,amd,cold,max,+bad,ms,,48.526,343.26,,-607.3733668548819
pgr2_snapshot,amd,warm,fps,+good,fps,,29.535533900228458,25.390410154367537,,-14.034361998883183
pgr2_snapshot,amd,warm,mean,+bad,ms,,33.8687996613996,39.39074212598425,,-16.30392136653731
pgr2_snapshot,amd,warm,p95,+bad,ms,,39.503,48.22,,-22.06667848011543
pgr2_snapshot,amd,warm,p99,+bad,ms,,43.917,56.18,,-27.923127718195673
pgr2_snapshot,amd,warm,max,+bad,ms,,57.787,61.653,,-6.69008600550296
pgr2_snapshot,nvidia,cold,fps,+good,fps,29.139,29.492,29.49869953549889,1.2344264919828873,0.022716450220028328
pgr2_snapshot,nvidia,cold,mean,+bad,ms,34.309,33.897,33.88702032749856,1.2299387114210192,0.029441167364185894
pgr2_snapshot,nvidia,cold,p95,+bad,ms,40.795,39.596,39.785,2.475793602157139,-0.47732094150925164
pgr2_snapshot,nvidia,cold,p99,+bad,ms,44.896,43.602,42.865,4.523788310762644,1.6902894362643806
pgr2_snapshot,nvidia,cold,max,+bad,ms,65.091,61.002,48.526,25.448986803091046,20.451788465951935
pgr2_snapshot,nvidia,warm,fps,+good,fps,29.139,29.408,29.535533900228458,1.3608356506004338,0.43367077063538595
pgr2_snapshot,nvidia,warm,mean,+bad,ms,34.309,33.992,33.8687996613996,1.2830462520050046,0.3624392168757318
pgr2_snapshot,nvidia,warm,p95,+bad,ms,40.795,39.714,39.503,3.167054786125756,0.5312987863221985
pgr2_snapshot,nvidia,warm,p99,+bad,ms,44.896,43.144,43.917,2.180595153243048,-1.791674392731335
pgr2_snapshot,nvidia,warm,max,+bad,ms,65.091,52.959,57.787,11.221213378193596,-9.11648633848825
