workload,gpu,transport,phase_label,run_id,fps_or_cadence,mean_ms,p95_ms,p99_ms,max_ms,stalls_75ms,frames,focus_loss_samples,not_responding_samples,spirv_hits,spirv_misses,spirv_rejections,spirv_fallbacks,functional_status,measurement_status
pgr2_full_start,amd,host copy,cold,pr76-a08c4d9291-pgr2-full-amd-cold-r1,30.00009584446205,33.33332565241555,33.599,34.009,43.097,0,3602,0,0,340,0,0,0,complete,complete
pgr2_full_start,amd,host copy,warm,pr76-a08c4d9291-pgr2-full-amd-warm-r2,29.9870076222348,33.34738076709305,33.558,33.995,70.891,0,3598,0,0,341,0,0,0,complete,complete
pgr2_full_start,nvidia,shared external memory,cold,pr76-a08c4d9291-pgr2-full-nvidia-cold-r1,30.000002599653605,33.33332546514869,33.532,33.764,34.852,0,3601,0,0,341,0,0,0,complete,complete
pgr2_full_start,nvidia,shared external memory,warm,pr76-a08c4d9291-pgr2-full-nvidia-warm-r2,29.999908605533992,33.33332796445438,33.577,33.818,45.161,0,3601,0,0,341,0,0,0,complete,complete
pgr2_snapshot,amd,host copy,cold,pr76-a08c4d9291-pgr2-snapshot-amd-cold-r1,25.054373956813418,39.86088180610884,47.557,60.362,343.26,9,1506,0,0,141,0,0,0,complete,complete
pgr2_snapshot,amd,host copy,warm,pr76-a08c4d9291-pgr2-snapshot-amd-warm-r2,25.390410154367537,39.39074212598425,48.22,56.18,61.653,0,1524,0,0,141,0,0,0,complete,complete
pgr2_snapshot,nvidia,shared external memory,cold,pr76-a08c4d9291-pgr2-snapshot-nvidia-cold-r1,29.49869953549889,33.88702032749856,39.785,42.865,48.526,0,1771,0,0,141,0,0,0,complete,complete
pgr2_snapshot,nvidia,shared external memory,warm,pr76-a08c4d9291-pgr2-snapshot-nvidia-warm-r2,29.535533900228458,33.8687996613996,39.503,43.917,57.787,0,1772,0,0,140,0,0,0,complete,complete
morrowind_snapshot,amd,host copy,cold,pr76-a08c4d9291-morrowind-amd-cold-r1,27.717229029564777,36.078642599277934,42.167,47.237,177.533,1,1662,0,0,2,47,0,0,"PASSED: QMP running, Start/B delivered, image transitioned, display writes advanced",complete
morrowind_snapshot,nvidia,shared external memory,cold,pr76-a08c4d9291-morrowind-nvidia-cold-r1,24.167438417981135,41.37798895790197,47.612,52.781,63.712,0,1449,0,0,2,46,0,0,"PASSED: QMP running, Start/B delivered, image transitioned, display writes advanced",complete
