test_id,nvidia_framebuffer_fnv1a64,amd_framebuffer_fnv1a64,nvidia_outcome,amd_outcome,ledger_eligible
busy_pfifo.pfifo_saturation,1508607624bb8506,618832b1599bf211,PASS,PASS,yes
fill_rate.solid,08b0f60773aac775,aa539e0bcd4e54b3,PASS,PASS,yes
fill_rate.textured,99b433323df1684d,92f42c56c1fbe869,PASS,PASS,yes
game_load.doax_menu_representative.cpu_pfifo_gpu,04157941d1aa6325,e7cef8cc6b616325,PASS,PASS,yes
game_load.doax_menu_stress.cpu_pfifo_gpu,c94959246d55a325,354713be420ca325,PASS,PASS,yes
game_load.pgr2_ai_backup.cpu_pfifo_gpu,48c0585f003ea325,02abbdf01cf5a325,PASS,PASS,yes
game_load.s3tc_sync_factor.dxt1_same_address_queued,13f7f7c1639f09cf,9ca4a41bbfb731d2,PASS,PASS,no
game_load.s3tc_sync_factor.rgba8_same_address_queued,4dda67c754d20b1a,88c8fcc1a8ea6150,PASS,PASS,no
high_vertex_count.arrays,a27c67890c2d9083,e67a1ce72784a588,PASS,PASS,yes
high_vertex_count.inline_arrays,a27c67890c2d9083,e67a1ce72784a588,PASS,PASS,yes
high_vertex_count.inline_buffers,a27c67890c2d9083,e67a1ce72784a588,PASS,PASS,yes
high_vertex_count.inline_elements,a27c67890c2d9083,e67a1ce72784a588,PASS,PASS,yes
primitive_type.line_loop.fixed_function,f2158581ac6e3919,58a881515e92797f,PASS,PASS,yes
primitive_type.line_loop.vertex_shader,f2158581ac6e3919,58a881515e92797f,PASS,PASS,yes
primitive_type.line_strip.fixed_function,f2158581ac6e3919,58a881515e92797f,PASS,PASS,yes
primitive_type.line_strip.vertex_shader,f2158581ac6e3919,58a881515e92797f,PASS,PASS,yes
primitive_type.lines.fixed_function,1766a7f93aa72a14,52865ed0cfa6d0fe,PASS,PASS,yes
primitive_type.lines.vertex_shader,1766a7f93aa72a14,52865ed0cfa6d0fe,PASS,PASS,yes
primitive_type.points.fixed_function,5b296619f665c070,6813f0dbe94bac3c,PASS,PASS,yes
primitive_type.points.vertex_shader,5b296619f665c070,6813f0dbe94bac3c,PASS,PASS,yes
primitive_type.polygon.fixed_function,2c4beaa06aba1000,e0d0b9dbefa71269,PASS,PASS,yes
