test_id,kind,parent_outcome,candidate_outcome,parent_hash,candidate_hash,parent_median_us,candidate_median_us,status,improvement_pct
busy_pfifo.pfifo_saturation,leaf,PASS,PASS,1508607624bb8506,1508607624bb8506,111633,111804,OUTCOME_AND_HASH_MATCH,-0.15
busy_pfifo.pgraph_pattern_polling,leaf,PASS,PASS,386d0f085e98c325,386d0f085e98c325,4348200,4593586,OUTCOME_AND_HASH_MATCH,-5.64
cpu_floating_point.sse_scalar,leaf,PASS,PASS,6962077c244da325,6962077c244da325,509431,506450,OUTCOME_AND_HASH_MATCH,+0.59
cpu_floating_point.x87_scalar,leaf,PASS,PASS,6962077c244da325,6962077c244da325,789144,788162,OUTCOME_AND_HASH_MATCH,+0.12
cpu_translation_blocks.direct_loop,leaf,PASS,PASS,bd1fc9bf0c318325,bd1fc9bf0c318325,9778,9733,OUTCOME_AND_HASH_MATCH,+0.46
cpu_translation_blocks.indirect_dispatch,leaf,PASS,PASS,c0426cf669a02325,c0426cf669a02325,40030,39717,OUTCOME_AND_HASH_MATCH,+0.78
cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,PASS,fbd507cb0c622325,fbd507cb0c622325,798851,792166,OUTCOME_AND_HASH_MATCH,+0.84
fill_rate.solid,leaf,PASS,PASS,08b0f60773aac775,08b0f60773aac775,1138,1185,OUTCOME_AND_HASH_MATCH,-4.13
fill_rate.textured,leaf,PASS,PASS,99b433323df1684d,99b433323df1684d,1192,1228,OUTCOME_AND_HASH_MATCH,-3.02
game_load.cross_title_hotpath,group,PASS,PASS,e30500792076e325,e30500792076e325,,,OUTCOME_AND_HASH_MATCH,
game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,PASS,58e80f99c5a56325,58e80f99c5a56325,182911,99622,OUTCOME_AND_HASH_MATCH,+45.54
game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,PASS,e30500792076e325,e30500792076e325,1117,1150,OUTCOME_AND_HASH_MATCH,-2.95
game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,PASS,2b9db92162606325,2b9db92162606325,119140,101557,OUTCOME_AND_HASH_MATCH,+14.76
game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,PASS,151015a16ca46325,151015a16ca46325,101946,107832,OUTCOME_AND_HASH_MATCH,-5.77
game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,PASS,4f8b2eab497ca325,4f8b2eab497ca325,65464,65950,OUTCOME_AND_HASH_MATCH,-0.74
game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,PASS,ea21c900993ea325,ea21c900993ea325,100355,50749,OUTCOME_AND_HASH_MATCH,+49.43
game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,PASS,1a65246e1a0ea325,1a65246e1a0ea325,1257719,1356866,OUTCOME_AND_HASH_MATCH,-7.88
game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,PASS,32a69ec6dce52325,32a69ec6dce52325,657094,662184,OUTCOME_AND_HASH_MATCH,-0.77
game_load.cross_title_hotpath.surface_reuse,leaf,PASS,PASS,37f87c4938cd6325,37f87c4938cd6325,9570,9614,OUTCOME_AND_HASH_MATCH,-0.46
