renderer,test_id,kind,baseline_outcome,main_outcome,pr85_outcome,parent_outcome,candidate_outcome,candidate_vs_baseline,pr85_vs_main,parent_vs_pr85,candidate_vs_parent,raw_direction,baseline_median_us,main_median_us,pr85_median_us,parent_median_us,candidate_median_us,improvement_parent_vs_pr85_pct,improvement_pr85_vs_main_pct,improvement_vs_baseline_pct,improvement_vs_parent_pct,baseline_hash,main_hash,pr85_hash,parent_hash,candidate_hash
vulkan,busy_pfifo.pfifo_saturation,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,101795,103624,99606,103504,+3.88,-1.80,,-3.91,,1508607624bb8506,1508607624bb8506,1508607624bb8506,1508607624bb8506
vulkan,busy_pfifo.pgraph_pattern_polling,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,4419628,4526136,4667472,4447688,-3.12,-2.41,,+4.71,,386d0f085e98c325,386d0f085e98c325,386d0f085e98c325,386d0f085e98c325
vulkan,cpu_floating_point.sse_scalar,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,504884,504292,523246,520082,-3.76,+0.12,,+0.60,,6962077c244da325,6962077c244da325,6962077c244da325,6962077c244da325
vulkan,cpu_floating_point.x87_scalar,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,791288,796099,818755,813684,-2.85,-0.61,,+0.62,,6962077c244da325,6962077c244da325,6962077c244da325,6962077c244da325
vulkan,cpu_translation_blocks.direct_loop,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,9822,9896,9992,9830,-0.97,-0.75,,+1.62,,bd1fc9bf0c318325,bd1fc9bf0c318325,bd1fc9bf0c318325,bd1fc9bf0c318325
vulkan,cpu_translation_blocks.indirect_dispatch,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,39477,39966,41224,40506,-3.15,-1.24,,+1.74,,c0426cf669a02325,c0426cf669a02325,c0426cf669a02325,c0426cf669a02325
vulkan,cpu_translation_blocks.indirect_dispatch_stress,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,795588,799932,815749,810823,-1.98,-0.55,,+0.60,,fbd507cb0c622325,fbd507cb0c622325,fbd507cb0c622325,fbd507cb0c622325
vulkan,fill_rate.solid,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,1142,1151,1216,1257,-5.65,-0.79,,-3.37,,08b0f60773aac775,08b0f60773aac775,08b0f60773aac775,08b0f60773aac775
vulkan,fill_rate.textured,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,1202,1219,1247,1266,-2.30,-1.41,,-1.52,,99b433323df1684d,99b433323df1684d,99b433323df1684d,99b433323df1684d
vulkan,game_load.cross_title_hotpath,group,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,,,,,,,,,,,,e30500792076e325,e30500792076e325,e30500792076e325,e30500792076e325
