renderer,test_id,kind,main_outcome,main_hash,main_median_us,pr85_outcome,pr85_hash,pr85_median_us,pr87_outcome,pr87_hash,pr87_median_us,pr89_outcome,pr89_hash,pr89_median_us,main_to_pr85_status,main_to_pr85_improvement_pct,pr85_to_pr87_status,pr85_to_pr87_improvement_pct,pr87_to_pr89_status,pr87_to_pr89_improvement_pct,main_to_pr89_status,main_to_pr89_improvement_pct
vulkan,busy_pfifo.pfifo_saturation,leaf,PASS,1508607624bb8506,101795,PASS,1508607624bb8506,109692,PASS,1508607624bb8506,103445,PASS,1508607624bb8506,109312,OUTCOME_AND_HASH_MATCH,-7.76,OUTCOME_AND_HASH_MATCH,+5.70,OUTCOME_AND_HASH_MATCH,-5.67,OUTCOME_AND_HASH_MATCH,-7.38
vulkan,busy_pfifo.pgraph_pattern_polling,leaf,PASS,386d0f085e98c325,4419628,PASS,386d0f085e98c325,4421776,PASS,386d0f085e98c325,4621025,PASS,386d0f085e98c325,4439549,OUTCOME_AND_HASH_MATCH,-0.05,OUTCOME_AND_HASH_MATCH,-4.51,OUTCOME_AND_HASH_MATCH,+3.93,OUTCOME_AND_HASH_MATCH,-0.45
vulkan,cpu_floating_point.sse_scalar,leaf,PASS,6962077c244da325,504884,PASS,6962077c244da325,503609,PASS,6962077c244da325,497582,PASS,6962077c244da325,494077,OUTCOME_AND_HASH_MATCH,+0.25,OUTCOME_AND_HASH_MATCH,+1.20,OUTCOME_AND_HASH_MATCH,+0.70,OUTCOME_AND_HASH_MATCH,+2.14
vulkan,cpu_floating_point.x87_scalar,leaf,PASS,6962077c244da325,791288,PASS,6962077c244da325,793288,PASS,6962077c244da325,788866,PASS,6962077c244da325,789163,OUTCOME_AND_HASH_MATCH,-0.25,OUTCOME_AND_HASH_MATCH,+0.56,OUTCOME_AND_HASH_MATCH,-0.04,OUTCOME_AND_HASH_MATCH,+0.27
vulkan,cpu_translation_blocks.direct_loop,leaf,PASS,bd1fc9bf0c318325,9822,PASS,bd1fc9bf0c318325,9870,PASS,bd1fc9bf0c318325,9791,PASS,bd1fc9bf0c318325,9805,OUTCOME_AND_HASH_MATCH,-0.49,OUTCOME_AND_HASH_MATCH,+0.80,OUTCOME_AND_HASH_MATCH,-0.14,OUTCOME_AND_HASH_MATCH,+0.17
vulkan,cpu_translation_blocks.indirect_dispatch,leaf,PASS,c0426cf669a02325,39477,PASS,c0426cf669a02325,39589,PASS,c0426cf669a02325,39609,PASS,c0426cf669a02325,40127,OUTCOME_AND_HASH_MATCH,-0.28,OUTCOME_AND_HASH_MATCH,-0.05,OUTCOME_AND_HASH_MATCH,-1.31,OUTCOME_AND_HASH_MATCH,-1.65
vulkan,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,fbd507cb0c622325,795588,PASS,fbd507cb0c622325,793731,PASS,fbd507cb0c622325,792663,PASS,fbd507cb0c622325,793237,OUTCOME_AND_HASH_MATCH,+0.23,OUTCOME_AND_HASH_MATCH,+0.13,OUTCOME_AND_HASH_MATCH,-0.07,OUTCOME_AND_HASH_MATCH,+0.30
vulkan,fill_rate.solid,leaf,PASS,08b0f60773aac775,1142,PASS,08b0f60773aac775,1131,PASS,08b0f60773aac775,1132,PASS,08b0f60773aac775,1145,OUTCOME_AND_HASH_MATCH,+0.96,OUTCOME_AND_HASH_MATCH,-0.09,OUTCOME_AND_HASH_MATCH,-1.15,OUTCOME_AND_HASH_MATCH,-0.26
vulkan,fill_rate.textured,leaf,PASS,99b433323df1684d,1202,PASS,99b433323df1684d,1243,PASS,99b433323df1684d,1183,PASS,99b433323df1684d,1212,OUTCOME_AND_HASH_MATCH,-3.41,OUTCOME_AND_HASH_MATCH,+4.83,OUTCOME_AND_HASH_MATCH,-2.45,OUTCOME_AND_HASH_MATCH,-0.83
vulkan,game_load.cross_title_hotpath,group,PASS,e30500792076e325,,PASS,e30500792076e325,,PASS,e30500792076e325,,PASS,e30500792076e325,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,
