renderer,test_id,kind,parent_outcome,candidate_outcome,parent_framebuffer_fnv1a64,candidate_framebuffer_fnv1a64,comparison,raw_direction,parent_median_us,candidate_median_us,improvement_pct
vulkan,busy_pfifo.pfifo_saturation,leaf,PASS,PASS,1508607624bb8506,1508607624bb8506,OUTCOME_AND_HASH_MATCH,+bad,100666,101969,-1.29
vulkan,busy_pfifo.pgraph_pattern_polling,leaf,PASS,PASS,386d0f085e98c325,386d0f085e98c325,OUTCOME_AND_HASH_MATCH,+bad,4433513,4295569,+3.11
vulkan,cpu_floating_point.sse_scalar,leaf,PASS,PASS,6962077c244da325,6962077c244da325,OUTCOME_AND_HASH_MATCH,+bad,497523,492464,+1.02
vulkan,cpu_floating_point.x87_scalar,leaf,PASS,PASS,6962077c244da325,6962077c244da325,OUTCOME_AND_HASH_MATCH,+bad,783204,788743,-0.71
vulkan,cpu_translation_blocks.direct_loop,leaf,PASS,PASS,bd1fc9bf0c318325,bd1fc9bf0c318325,OUTCOME_AND_HASH_MATCH,+bad,9723,9901,-1.83
vulkan,cpu_translation_blocks.indirect_dispatch,leaf,PASS,PASS,c0426cf669a02325,c0426cf669a02325,OUTCOME_AND_HASH_MATCH,+bad,39270,39709,-1.12
vulkan,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,PASS,fbd507cb0c622325,fbd507cb0c622325,OUTCOME_AND_HASH_MATCH,+bad,786178,792186,-0.76
vulkan,fill_rate.solid,leaf,PASS,PASS,08b0f60773aac775,08b0f60773aac775,OUTCOME_AND_HASH_MATCH,+bad,1224,1081,+11.68
vulkan,fill_rate.textured,leaf,PASS,PASS,99b433323df1684d,99b433323df1684d,OUTCOME_AND_HASH_MATCH,+bad,1315,1189,+9.58
vulkan,game_load.long_unlocked_scene.cpu,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,23643,24028,-1.63
